t / s	&j / arb.u.
15,73	-0,58
15,78	-0,54
15,83	-0,58
15,88	-0,55
15,93	-0,59
15,98	-0,56
16,03	-0,58
16,08	-0,54
16,13	-0,59
16,18	-0,54
16,23	-0,59
16,28	-0,55
16,33	-0,59
16,38	-0,55
16,43	-0,59
16,48	-0,55
16,53	-0,59
16,58	-0,55
16,63	-0,58
16,68	-0,55
16,73	-0,59
16,78	-0,54
16,83	-0,58
16,88	-0,55
16,93	-0,59
16,98	-0,56
17,03	-0,58
17,08	-0,55
17,13	-0,58
17,18	-0,55
17,23	-0,59
17,28	-0,55
17,33	-0,58
17,38	-0,55
17,43	-0,59
17,48	-0,55
