t / s	&j / arb.u.
0,03	-0,58
0,08	-0,55
0,13	-0,58
0,18	-0,56
0,23	-0,58
0,28	-0,55
0,33	-0,58
0,38	-0,55
0,43	-0,58
0,48	-0,55
0,53	-0,57
0,58	-0,54
0,63	-0,58
0,68	-0,55
0,73	-0,58
0,78	-0,55
0,83	-0,57
0,88	-0,55
0,93	-0,58
0,98	-0,55
1,03	-0,58
1,08	-0,55
1,13	-0,59
1,18	-0,55
1,23	-1,03
1,28	-2,70
1,33	-5,09
1,38	-8,27
1,43	-12,33
1,48	-16,55
1,53	-21,08
1,58	-25,52
1,63	-30,00
1,68	-34,78
1,73	-39,69
1,78	-44,50
1,83	-49,54
1,88	-54,56
1,93	-59,14
1,98	-63,11
2,03	-66,09
2,08	-67,73
2,13	-68,58
2,18	-69,11
2,23	-69,90
2,28	-70,73
2,33	-71,57
2,38	-71,78
2,43	-72,16
2,48	-72,77
2,53	-73,50
2,58	-74,20
2,63	-74,58
2,68	-74,59
2,73	-74,74
2,78	-74,89
2,83	-75,14
2,88	-75,17
2,93	-75,22
2,98	-75,18
3,03	-75,22
3,08	-75,18
3,13	-75,27
3,18	-75,23
3,23	-75,27
3,28	-75,35
3,33	-75,98
3,38	-76,39
3,43	-76,52
3,48	-76,49
3,53	-76,55
3,58	-76,60
3,63	-76,64
3,68	-76,64
3,73	-76,74
3,78	-76,72
3,83	-76,81
3,88	-76,86
3,93	-76,90
3,98	-76,87
4,03	-76,90
4,08	-76,86
4,13	-76,90
4,18	-76,87
4,23	-76,90
4,28	-76,87
4,33	-76,91
4,38	-76,87
4,43	-76,95
4,48	-76,93
4,53	-76,97
4,58	-76,93
4,63	-76,98
4,68	-76,93
4,73	-76,96
4,78	-76,04
4,83	-73,17
4,88	-68,40
4,93	-62,01
4,98	-53,97
5,03	-44,58
5,08	-33,96
5,13	-22,59
5,18	-10,78
5,23	1,07
5,28	12,89
5,33	24,11
5,38	34,76
5,43	44,44
5,48	53,04
5,53	60,30
5,58	66,15
5,63	70,25
5,68	72,67
5,73	73,20
5,78	71,87
5,83	68,53
5,88	63,60
5,93	57,08
5,98	49,26
6,03	40,33
6,08	30,47
6,13	19,95
6,18	8,94
6,23	-2,38
6,28	-13,67
6,33	-24,68
6,38	-35,10
6,43	-44,61
6,48	-52,76
6,53	-59,53
6,58	-64,65
6,63	-68,11
6,68	-69,64
6,73	-69,59
6,78	-67,57
6,83	-63,77
6,88	-58,25
6,93	-51,33
6,98	-42,97
7,03	-33,59
7,08	-23,32
7,13	-12,75
7,18	-1,85
7,23	8,85
7,28	19,34
7,33	29,10
7,38	38,26
7,43	46,31
7,48	53,27
7,53	58,93
7,58	63,14
7,63	65,73
7,68	66,76
7,73	66,12
7,78	63,75
7,83	59,73
7,88	54,36
7,93	47,63
7,98	39,93
8,03	31,16
8,08	21,87
8,13	11,92
8,18	1,71
8,23	-8,63
8,28	-18,74
8,33	-28,50
8,38	-37,48
8,43	-45,48
8,48	-52,17
8,53	-57,48
8,58	-61,24
8,63	-63,44
8,68	-63,98
8,73	-62,98
8,78	-60,13
8,83	-55,83
8,88	-50,04
8,93	-43,01
8,98	-34,81
9,03	-25,80
9,08	-16,30
9,13	-6,49
9,18	3,39
9,23	13,05
9,28	22,32
9,33	30,85
9,38	38,78
9,43	45,59
9,48	51,33
9,53	55,81
9,58	58,95
9,63	60,50
9,68	60,80
9,73	59,48
9,78	56,71
9,83	52,42
9,88	47,04
9,93	40,53
9,98	33,05
10,03	24,84
10,08	16,12
10,13	6,90
10,18	-2,41
10,23	-11,82
10,28	-20,87
10,33	-29,49
10,38	-37,33
10,43	-44,20
10,48	-49,81
10,53	-54,12
10,58	-56,96
10,63	-58,39
10,68	-58,36
10,73	-56,84
10,78	-53,74
10,83	-49,33
10,88	-43,57
10,93	-36,79
10,98	-29,01
11,03	-20,67
11,08	-11,89
11,13	-2,95
11,18	6,03
11,23	14,69
11,28	22,96
11,33	30,52
11,38	37,43
11,43	43,33
11,48	48,21
11,53	51,79
11,58	54,24
11,63	55,30
11,68	55,18
11,73	53,51
11,78	50,66
11,83	46,50
11,88	41,37
11,93	35,13
11,98	28,18
12,03	20,60
12,08	12,56
12,13	4,09
12,18	-4,36
12,23	-12,88
12,28	-20,97
12,33	-28,65
12,38	-35,57
12,43	-41,59
12,48	-46,41
12,53	-50,11
12,58	-52,41
12,63	-53,38
12,68	-53,13
12,73	-51,49
12,78	-48,33
12,83	-44,09
12,88	-38,66
12,93	-32,32
12,98	-25,12
13,03	-17,52
13,08	-9,47
13,13	-1,35
13,18	6,76
13,23	14,59
13,28	22,02
13,33	28,75
13,38	34,90
13,43	40,14
13,48	44,39
13,53	47,51
13,58	49,55
13,63	50,31
13,68	50,09
13,73	48,43
13,78	45,67
13,83	41,84
13,88	37,00
13,93	31,26
13,98	24,96
14,03	17,98
14,08	10,65
14,13	2,91
14,18	-4,74
14,23	-12,45
14,28	-19,77
14,33	-26,65
14,38	-32,87
14,43	-38,27
14,48	-42,59
14,53	-45,84
14,58	-47,87
14,63	-48,73
14,68	-48,44
14,73	-46,79
14,78	-43,93
14,83	-40,01
14,88	-35,04
14,93	-29,23
14,98	-22,72
15,03	-15,84
15,08	-8,51
15,13	-1,17
15,18	6,21
15,23	13,31
15,28	20,05
15,33	26,18
15,38	31,70
15,43	36,43
15,48	40,36
15,53	43,17
15,58	44,97
15,63	45,67
15,68	45,50
15,73	44,03
15,78	41,64
15,83	38,09
15,88	33,74
15,93	28,58
15,98	22,89
16,03	16,59
16,08	9,94
16,13	2,94
16,18	-4,03
16,23	-11,02
16,28	-17,68
16,33	-23,91
16,38	-29,56
16,43	-34,56
16,48	-38,51
16,53	-41,57
16,58	-43,49
16,63	-44,36
16,68	-44,19
16,73	-42,82
16,78	-40,29
16,83	-36,83
16,88	-32,38
16,93	-27,19
16,98	-21,37
17,03	-15,18
17,08	-8,56
17,13	-1,91
17,18	4,79
17,23	11,28
17,28	17,46
17,33	23,08
17,38	28,13
17,43	32,48
17,48	36,11
17,53	38,81
17,58	40,63
17,63	41,37
17,68	41,33
17,73	40,13
17,78	38,00
17,83	34,93
17,88	31,14
17,93	26,61
17,98	21,53
18,03	15,89
18,08	9,93
18,13	3,62
18,18	-2,66
18,23	-8,97
18,28	-15,04
18,33	-20,76
18,38	-25,91
18,43	-30,52
18,48	-34,31
18,53	-37,22
18,58	-39,13
18,63	-40,12
18,68	-40,14
18,73	-39,15
18,78	-37,06
18,83	-34,13
18,88	-30,25
18,93	-25,73
18,98	-20,62
19,03	-15,09
19,08	-9,19
19,13	-3,19
19,18	2,87
19,23	8,78
19,28	14,43
19,33	19,66
19,38	24,41
19,43	28,42
19,48	31,87
19,53	34,49
19,58	36,32
19,63	37,25
19,68	37,41
19,73	36,64
19,78	34,95
19,83	32,42
19,88	29,17
19,93	25,31
19,98	20,83
20,03	15,85
20,08	10,53
20,13	4,89
20,18	-0,79
20,23	-6,48
20,28	-12,08
20,33	-17,35
20,38	-22,14
20,43	-26,45
20,48	-30,09
20,53	-32,99
20,58	-35,04
20,63	-36,21
20,68	-36,49
20,73	-35,96
20,78	-34,34
20,83	-31,91
20,88	-28,68
20,93	-24,79
20,98	-20,38
21,03	-15,50
21,08	-10,29
21,13	-4,85
21,18	0,61
21,23	5,98
21,28	11,21
21,33	16,10
21,38	20,53
