t / s	&j / arb.u.
0,03	-0,56
0,08	-0,57
0,13	-0,56
0,18	-0,57
0,23	-0,55
0,28	-0,57
0,33	-0,56
0,38	-0,58
0,43	-0,56
0,48	-0,57
0,53	-0,56
0,58	-0,57
0,63	-0,56
0,68	-0,57
0,73	-0,56
0,78	-0,56
0,83	-0,56
0,88	-0,56
0,93	-0,55
0,98	-0,59
1,03	-1,00
1,08	-1,72
1,13	-2,92
1,18	-4,97
1,23	-7,81
1,28	-11,62
1,33	-16,15
1,38	-21,00
1,43	-26,03
1,48	-31,03
1,53	-35,60
1,58	-39,54
1,63	-42,97
1,68	-46,06
1,73	-48,78
1,78	-50,98
1,83	-52,77
1,88	-54,31
1,93	-55,85
1,98	-57,58
2,03	-59,36
2,08	-60,80
2,13	-62,07
2,18	-63,36
2,23	-64,63
2,28	-65,76
2,33	-67,20
2,38	-69,21
2,43	-71,45
2,48	-72,70
2,53	-72,83
2,58	-72,82
2,63	-72,88
2,68	-73,10
2,73	-73,45
2,78	-74,01
2,83	-74,47
2,88	-74,52
2,93	-74,82
2,98	-75,24
3,03	-75,99
3,08	-76,59
3,13	-76,76
3,18	-76,75
3,23	-76,77
3,28	-76,76
3,33	-76,77
3,38	-76,76
3,43	-76,76
3,48	-76,76
3,53	-76,77
3,58	-76,76
3,63	-76,77
3,68	-76,75
3,73	-76,76
3,78	-76,75
3,83	-76,77
3,88	-76,75
3,93	-76,78
3,98	-76,58
4,03	-74,70
4,08	-70,79
4,13	-65,26
4,18	-58,06
4,23	-49,51
4,28	-39,71
4,33	-29,02
4,38	-17,84
4,43	-6,48
4,48	4,82
4,53	15,75
4,58	26,05
4,63	35,54
4,68	44,08
4,73	51,32
4,78	57,39
4,83	61,84
4,88	64,84
4,93	66,10
4,98	65,90
5,03	63,84
5,08	60,27
5,13	55,24
5,18	49,01
5,23	41,70
5,28	33,50
5,33	24,66
5,38	15,38
5,43	5,71
5,48	-3,93
5,53	-13,54
5,58	-22,62
5,63	-31,19
5,68	-38,81
5,73	-45,35
5,78	-50,55
5,83	-54,36
5,88	-56,71
5,93	-57,63
5,98	-57,16
6,03	-55,11
6,08	-51,69
6,13	-46,98
6,18	-41,07
6,23	-34,28
6,28	-26,61
6,33	-18,61
6,38	-10,22
6,43	-1,82
6,48	6,51
6,53	14,45
6,58	21,95
6,63	28,64
6,68	34,72
6,73	39,83
6,78	43,92
6,83	46,82
6,88	48,66
6,93	49,26
6,98	48,87
7,03	47,08
7,08	44,29
7,13	40,45
7,18	35,71
7,23	30,14
7,28	24,12
7,33	17,46
7,38	10,56
7,43	3,33
7,48	-3,76
7,53	-10,87
7,58	-17,53
7,63	-23,71
7,68	-29,29
7,73	-34,14
7,78	-37,95
7,83	-40,83
7,88	-42,55
7,93	-43,26
7,98	-42,95
8,03	-41,48
8,08	-38,89
8,13	-35,48
8,18	-31,12
8,23	-26,14
8,28	-20,60
8,33	-14,74
8,38	-8,53
8,43	-2,35
8,48	3,83
8,53	9,76
8,58	15,39
8,63	20,45
8,68	25,01
8,73	28,78
8,78	31,97
8,83	34,26
8,88	35,75
8,93	36,34
8,98	36,26
9,03	35,14
9,08	33,26
9,13	30,56
9,18	27,29
9,23	23,40
9,28	19,05
9,33	14,20
9,38	9,18
9,43	3,87
9,48	-1,36
9,53	-6,57
9,58	-11,58
9,63	-16,28
9,68	-20,48
9,73	-24,13
9,78	-27,20
9,83	-29,59
9,88	-31,17
9,93	-32,00
9,98	-32,06
10,03	-31,36
10,08	-29,75
10,13	-27,52
10,18	-24,56
10,23	-21,18
10,28	-17,30
10,33	-13,13
10,38	-8,61
10,43	-4,09
10,48	0,50
10,53	4,88
10,58	9,21
10,63	13,09
10,68	16,71
10,73	19,72
10,78	22,35
10,83	24,29
10,88	25,71
10,93	26,42
10,98	26,65
11,03	26,22
11,08	25,17
11,13	23,45
11,18	21,30
11,23	18,65
11,28	15,64
11,33	12,24
11,38	8,68
11,43	4,79
11,48	1,02
11,53	-2,88
11,58	-6,52
11,63	-10,15
11,68	-13,39
11,73	-16,34
11,78	-18,81
11,83	-20,81
11,88	-22,21
11,93	-23,18
11,98	-23,51
12,03	-23,47
12,08	-22,67
12,13	-21,40
12,18	-19,64
12,23	-17,42
12,28	-14,77
12,33	-11,93
12,38	-8,72
12,43	-5,47
12,48	-2,16
12,53	1,11
12,58	4,30
12,63	7,34
12,68	10,20
12,73	12,60
12,78	14,79
12,83	16,53
12,88	17,89
12,93	18,73
12,98	19,17
13,03	19,18
13,08	18,81
13,13	17,85
13,18	16,53
13,23	14,79
13,28	12,78
13,33	10,50
13,38	7,98
13,43	5,22
13,48	2,51
13,53	-0,33
13,58	-3,07
13,63	-5,72
13,68	-8,22
13,73	-10,60
13,78	-12,59
13,83	-14,28
13,88	-15,60
13,93	-16,59
13,98	-17,11
14,03	-17,30
14,08	-17,15
14,13	-16,53
14,18	-15,44
14,23	-14,10
14,28	-12,40
14,33	-10,49
14,38	-8,28
14,43	-6,00
14,48	-3,66
14,53	-1,30
14,58	1,12
14,63	3,35
14,68	5,53
14,73	7,50
14,78	9,30
14,83	10,77
14,88	11,97
14,93	12,82
14,98	13,42
15,03	13,63
15,08	13,69
15,13	13,27
15,18	12,56
15,23	11,52
15,28	10,30
15,33	8,74
15,38	7,03
15,43	5,09
15,48	3,18
15,53	1,16
15,58	-0,83
15,63	-2,87
15,68	-4,70
15,73	-6,48
15,78	-8,08
15,83	-9,54
15,88	-10,70
15,93	-11,66
15,98	-12,26
16,03	-12,60
16,08	-12,63
16,13	-12,57
16,18	-12,03
16,23	-11,26
16,28	-10,17
16,33	-8,93
16,38	-7,45
16,43	-5,93
16,48	-4,29
16,53	-2,66
16,58	-0,92
16,63	0,72
16,68	2,37
16,73	3,77
16,78	5,18
16,83	6,39
16,88	7,44
16,93	8,23
16,98	8,84
17,03	9,14
17,08	9,30
17,13	9,26
17,18	8,98
17,23	8,37
17,28	7,63
17,33	6,64
17,38	5,57
17,43	4,30
17,48	3,08
17,53	1,72
17,58	0,36
17,63	-1,08
17,68	-2,40
17,73	-3,72
17,78	-4,82
17,83	-5,91
17,88	-6,80
17,93	-7,60
17,98	-8,16
18,03	-8,57
18,08	-8,72
18,13	-8,77
18,18	-8,67
18,23	-8,30
18,28	-7,70
18,33	-6,99
18,38	-6,09
18,43	-5,14
18,48	-4,12
18,53	-3,03
18,58	-1,83
18,63	-0,70
18,68	0,48
18,73	1,54
18,78	2,60
18,83	3,45
18,88	4,27
18,93	4,93
18,98	5,51
19,03	5,87
19,08	6,12
19,13	6,19
19,18	6,22
19,23	5,97
19,28	5,58
19,33	5,01
19,38	4,37
19,43	3,58
19,48	2,83
19,53	1,90
19,58	0,97
19,63	-0,02
19,68	-0,95
19,73	-1,91
19,78	-2,75
19,83	-3,61
19,88	-4,29
19,93	-4,88
19,98	-5,36
20,03	-5,77
20,08	-5,99
20,13	-6,13
20,18	-6,11
20,23	-6,11
20,28	-5,83
20,33	-5,45
20,38	-4,92
20,43	-4,40
20,48	-3,73
20,53	-3,01
20,58	-2,24
20,63	-1,46
20,68	-0,64
20,73	0,11
20,78	0,89
20,83	1,56
20,88	2,22
20,93	2,74
20,98	3,18
21,03	3,48
21,08	3,73
21,13	3,87
21,18	3,91
21,23	3,91
21,28	3,83
21,33	3,53
21,38	3,21
21,43	2,79
21,48	2,28
21,53	1,69
21,58	1,09
21,63	0,43
21,68	-0,21
21,73	-0,86
21,78	-1,48
21,83	-2,08
21,88	-2,60
21,93	-3,09
21,98	-3,50
22,03	-3,83
22,08	-4,08
22,13	-4,22
22,18	-4,31
22,23	-4,31
22,28	-4,30
22,33	-4,15
22,38	-3,89
22,43	-3,54
22,48	-3,13
22,53	-2,69
22,58	-2,19
22,63	-1,69
22,68	-1,16
22,73	-0,65
22,78	-0,13
22,83	0,36
22,88	0,82
22,93	1,24
22,98	1,59
23,03	1,88
23,08	2,11
23,13	2,27
23,18	2,36
23,23	2,36
23,28	2,36
23,33	2,35
23,38	2,16
23,43	1,92
23,48	1,61
23,53	1,28
23,58	0,89
23,63	0,50
23,68	0,07
23,73	-0,34
23,78	-0,77
23,83	-1,15
23,88	-1,55
23,93	-1,88
23,98	-2,19
24,03	-2,45
24,08	-2,66
24,13	-2,80
24,18	-2,89
24,23	-2,90
24,28	-2,92
24,33	-2,91
24,38	-2,89
24,43	-2,72
24,48	-2,49
24,53	-2,22
24,58	-1,96
24,63	-1,63
24,68	-1,32
24,73	-0,96
24,78	-0,65
24,83	-0,31
24,88	-0,03
24,93	0,26
24,98	0,51
25,03	0,74
25,08	0,90
25,13	1,08
25,18	1,14
25,23	1,21
25,28	1,19
25,33	1,22
25,38	1,20
25,43	1,14
25,48	0,95
25,53	0,79
25,58	0,55
25,63	0,34
25,68	0,09
25,73	-0,17
25,78	-0,44
25,83	-0,66
25,88	-0,93
25,93	-1,13
25,98	-1,36
26,03	-1,52
26,08	-1,70
26,13	-1,80
26,18	-1,90
26,23	-1,93
26,28	-1,97
26,33	-1,94
26,38	-1,97
26,43	-1,94
26,48	-1,90
26,53	-1,73
26,58	-1,59
26,63	-1,40
26,68	-1,24
26,73	-1,02
26,78	-0,84
26,83	-0,64
26,88	-0,49
26,93	-0,29
26,98	-0,16
27,03	0,03
27,08	0,12
27,13	0,24
27,18	0,30
27,23	0,36
27,28	0,33
27,33	0,36
27,38	0,33
27,43	0,36
27,48	0,33
27,53	0,31
27,58	0,18
27,63	0,07
27,68	-0,08
