t / s	s_A1 / m
0,008538	0,1212
0,047578	0,1211
0,087618	0,1211
0,127656	0,1212
0,167697	0,1212
0,207737	0,1152
0,247777	0,1134
0,367897	0,1286
0,407937	0,1471
0,447977	0,1737
0,488017	0,2000
0,608137	0,3573
0,648177	0,4181
0,688217	0,4060
0,728272	0,4552
0,768313	0,4930
0,808353	0,5602
0,848377	0,6220
0,888417	0,6839
0,928457	0,7462
0,968497	0,8094
1,008538	0,9101
1,047577	0,9734
1,087617	1,0494
1,127656	1,1222
1,167695	0,9798
1,207736	0,9656
1,247776	0,9511
1,287815	0,9423
1,327856	0,9504
1,367896	0,9360
1,407935	0,9452
1,447976	0,9504
1,488015	0,9553
1,528074	0,9557
1,568096	0,9516
1,608135	0,9518
1,648176	0,9520
1,688216	0,9522
1,728256	0,9525
1,768312	0,9529
1,808351	0,9532
1,848391	0,9535
1,888424	0,9537
1,928455	0,9543
1,968496	0,9551
2,008535	0,9562
2,047576	0,9621
2,087616	0,9679
2,127655	0,9735
