t / s	s_A1 / m
0,025555	0,1781
0,065595	0,1781
0,105635	0,1781
0,145675	0,1781
0,185715	0,1656
0,225755	0,1097
0,265795	0,1108
0,305835	0,1262
0,345875	0,1384
0,385915	0,1625
0,425955	0,1770
0,465995	0,2037
0,625155	0,3472
0,665194	0,3758
0,705233	0,4137
0,745274	0,4558
0,785318	0,5811
0,825358	0,5665
0,865398	0,6243
0,905433	0,6855
0,945474	0,7508
0,985514	0,8023
1,025553	0,8914
1,065594	0,9617
1,105634	1,0207
1,145674	1,1400
1,185714	1,0990
1,225753	0,9849
1,265794	0,9843
1,305834	0,9791
1,345873	0,9878
1,385914	0,9918
1,425953	0,9923
1,465994	0,9927
1,506034	0,9929
1,546073	0,9934
1,585114	0,9940
1,625154	0,9945
1,665193	0,9947
1,705233	0,9947
1,745273	0,9947
1,785313	0,9947
1,825369	0,9948
1,865408	0,9949
1,905449	0,9950
1,945473	0,9950
1,985513	0,9950
