t / s	s_A1 / m
0,023550	0,1282
0,063591	0,1282
0,103631	0,1282
0,143670	0,1282
0,183711	0,1282
0,223750	0,1283
0,263791	0,1210
0,303831	0,1298
0,343870	0,1378
0,383911	0,1578
0,423950	0,1685
0,463991	0,1913
0,504031	0,2137
0,544075	0,2390
0,584115	0,2730
0,624151	0,3002
0,663191	0,3642
0,703231	0,3832
0,743270	0,4251
0,783310	0,4749
0,823350	0,5257
0,863390	0,5740
0,903430	0,6224
0,943470	0,6866
0,983510	0,7467
1,023550	0,8015
1,063590	0,8856
1,103630	0,9513
1,143670	1,0657
1,183710	1,1225
1,223750	1,0812
1,263790	0,9901
1,303830	0,9828
1,343870	0,9875
1,383909	0,9930
1,423950	1,0024
1,463990	0,9997
1,504030	1,0009
1,544070	1,0057
1,584114	1,0058
1,624166	1,0059
1,663191	1,0060
1,703248	1,0062
1,743269	1,0065
1,783309	1,0069
1,823348	1,0073
1,863389	1,0077
1,903428	1,0036
1,943469	1,0038
1,983509	1,0040
2,023548	1,0041
2,063589	1,0042
2,103628	1,0042
2,143669	1,0042
2,183709	1,0042
2,223748	1,0042
2,263789	1,0042
2,303847	1,0043
2,343869	1,0042
2,383909	1,0043
2,423948	1,0043
2,463989	1,0043
2,504028	1,0042
2,544069	1,0043
2,584125	1,0043
2,624165	1,0043
2,663194	1,0043
2,703228	1,0043
2,743267	1,0043
2,783308	1,0043
2,823348	1,0043
2,863388	1,0043
2,903428	1,0043
2,943468	1,0043
2,983508	1,0043
3,023548	1,0043
3,063588	1,0043
