t / s	s_A1 / m
0,020	0,1359
0,060	0,1359
0,100	0,1359
0,140	0,1359
0,180	0,1359
0,220	0,1359
0,260	0,1359
0,300	0,1359
0,340	0,1359
0,380	0,1359
0,420	0,1359
0,460	0,1170
0,500	0,1172
0,540	0,1350
0,580	0,1380
0,620	0,1518
0,660	0,1636
0,700	0,1820
0,740	0,1987
0,780	0,2018
0,941	0,3082
0,980	0,3322
1,020	0,3797
1,060	0,4095
1,100	0,4421
1,140	0,4816
1,180	0,5176
1,220	0,5713
1,260	0,6146
1,300	0,6692
1,340	0,7093
1,380	0,7734
1,420	0,8311
1,460	0,8904
1,500	0,9560
1,540	0,9984
1,580	1,0507
1,620	0,9830
1,660	0,9792
1,700	0,9848
1,740	0,9852
1,780	0,9911
1,820	0,9918
1,860	0,9891
1,901	0,9907
1,941	0,9916
1,980	0,9920
2,020	0,9921
2,060	0,9923
2,100	0,9927
2,140	0,9933
2,180	0,9938
2,220	0,9944
2,260	0,9946
2,300	0,9947
2,340	0,9947
2,380	0,9947
2,420	0,9947
2,460	0,9948
2,500	0,9948
2,540	0,9948
2,580	0,9948
2,620	0,9948
2,660	0,9948
