t / s	s_A1 / m
0,017	0,1521
0,057	0,1520
0,097	0,1520
0,137	0,1520
0,177	0,1520
0,217	0,1520
0,257	0,1520
0,297	0,1520
0,337	0,1520
0,377	0,1521
0,416	0,1521
0,456	0,1521
0,496	0,1521
0,536	0,1521
0,576	0,1523
0,616	0,1096
0,656	0,1651
0,696	0,1654
0,736	0,2234
0,937	0,1532
0,977	0,1637
1,017	0,1856
1,137	0,2692
1,177	0,3093
1,217	0,3460
1,257	0,4010
1,297	0,4385
1,337	0,4829
1,377	0,5419
1,416	0,5860
1,456	0,6301
1,496	0,6895
1,536	0,7384
1,576	0,8030
1,616	0,8838
1,656	0,9303
1,696	0,9807
1,736	0,9971
1,776	0,9967
1,816	1,0344
1,856	1,0511
1,896	1,0240
1,937	1,0252
1,977	1,0249
2,017	1,0249
2,057	1,0293
2,097	1,0293
2,137	1,0249
2,177	1,0293
2,217	1,0293
2,257	1,0293
2,297	1,0293
2,337	1,0336
2,377	1,0293
2,416	1,0293
2,456	1,0293
2,496	1,0293
2,536	1,0336
2,576	1,0336
2,616	1,0336
2,656	1,0336
2,696	1,0336
2,736	1,0336
2,776	1,0336
2,816	1,0379
2,856	1,0205
2,896	1,0205
2,937	1,0162
2,977	1,0162
3,017	1,0162
3,057	1,0205
3,097	1,0162
3,137	1,0205
3,177	1,0205
3,217	1,0162
3,257	1,0162
3,297	1,0162
3,337	1,0162
3,377	1,0162
3,416	1,0162
3,456	1,0162
3,496	1,0162
3,536	1,0162
3,576	1,0162
3,616	1,0119
3,656	1,0119
3,696	1,0119
3,736	1,0119
3,776	1,0120
3,816	1,0205
3,856	1,0162
3,896	1,0162
