t / s	s_A1 / m
0,019	0,1108
0,059	0,1152
0,099	0,1152
0,139	0,1152
0,179	0,1152
0,219	0,1152
0,259	0,1152
0,299	0,1152
0,339	0,1152
0,379	0,1152
0,419	0,1108
0,459	0,1110
0,499	0,1098
0,539	0,2187
0,579	0,1107
0,699	0,1992
0,738	0,1139
0,778	0,1121
0,818	0,1307
0,858	0,1419
0,899	0,1587
0,939	0,1721
0,979	0,1865
1,019	0,2020
1,059	0,2186
1,099	0,2405
1,139	0,2594
1,179	0,2755
1,219	0,2964
1,339	0,3768
1,379	0,4069
1,419	0,4549
1,459	0,4793
1,499	0,4966
1,539	0,5199
1,579	0,5574
1,619	0,5832
1,659	0,6365
1,699	0,6758
1,738	0,7036
1,778	0,7381
1,818	0,7780
1,858	0,8233
1,899	0,8606
1,939	0,8994
1,979	0,9484
2,019	0,9818
2,059	1,0385
2,099	1,0038
2,139	0,9860
2,259	0,9742
2,299	0,9765
2,339	0,9753
2,379	0,9786
2,419	0,9852
2,459	0,9855
2,499	0,9855
2,539	0,9855
2,579	0,9855
2,619	0,9855
2,659	0,9856
2,699	0,9855
2,738	0,9855
2,778	0,9856
2,818	0,9856
2,858	0,9856
2,899	0,9856
2,939	0,9856
2,979	0,9856
3,019	0,9856
3,059	0,9856
3,099	0,9856
3,139	0,9856
3,179	0,9856
3,219	0,9856
3,259	0,9857
3,299	0,9857
3,339	0,9857
3,379	0,9857
3,419	0,9857
3,459	0,9857
3,499	0,9857
3,539	0,9857
3,579	0,9857
3,619	0,9857
3,659	0,9857
3,699	0,9857
3,738	0,9857
3,778	0,9857
3,818	0,9856
3,858	0,9856
3,898	0,9856
3,939	0,9856
3,979	0,9856
4,019	0,9856
4,059	0,9856
4,099	0,9856
4,139	0,9856
4,179	0,9856
4,219	0,9856
4,259	0,9856
4,299	0,9856
4,339	0,9856
4,379	0,9856
4,419	0,9856
4,459	0,9856
4,499	0,9856
