t / s	s_A1 / m
0,027	0,1296
0,067	0,1296
0,107	0,1296
0,147	0,1296
0,187	0,1296
0,227	0,1296
0,267	0,1555
0,307	0,1555
0,347	0,1339
0,387	0,1296
0,427	0,1296
0,467	0,1296
0,507	0,1296
0,547	0,1555
0,587	0,1296
0,627	0,1296
0,667	0,1340
0,707	0,1296
0,747	0,1515
0,787	0,1515
0,827	0,1340
0,867	0,1340
0,908	0,1296
0,948	0,1340
0,988	0,1296
1,027	0,1340
1,067	0,1340
1,107	0,1296
1,147	0,1296
1,187	0,1296
1,227	0,1296
1,267	0,1515
1,307	0,1296
1,347	0,1296
1,387	0,1385
1,427	0,1385
1,467	0,1385
1,507	0,1339
1,547	0,1296
1,587	0,2047
1,627	0,1680
1,667	0,2261
1,707	0,1696
1,747	0,1566
1,787	0,1341
1,827	0,1738
1,867	0,2222
1,908	0,1960
1,948	0,1777
1,988	0,1658
2,107	0,2176
2,147	0,1657
2,267	0,1574
2,307	0,1588
2,347	0,1827
2,467	0,2303
2,507	0,2643
2,547	0,2895
2,587	0,3107
2,627	0,3530
2,667	0,3627
2,707	0,3864
2,747	0,4021
2,787	0,4475
2,827	0,4691
2,867	0,4922
2,908	0,5204
2,948	0,5407
2,988	0,5665
3,027	0,6014
3,067	0,6420
3,107	0,6661
3,147	0,7087
3,187	0,7433
3,227	0,7786
3,267	0,7783
3,307	0,8681
3,347	0,8857
3,387	0,9335
3,427	0,9779
3,467	1,0069
3,507	1,0076
3,547	0,9989
3,587	0,9869
3,627	0,9905
3,667	0,9861
3,707	0,9862
3,747	0,9819
3,787	0,9862
3,827	0,9820
3,867	0,9867
3,908	0,9880
3,948	0,9810
3,988	0,9916
4,027	0,9842
4,067	1,0248
4,107	0,9986
4,147	1,0120
4,187	1,0338
4,227	1,0465
4,267	0,8840
4,307	0,9905
4,347	0,7947
4,387	0,9863
4,427	0,9907
4,467	0,9907
4,507	0,9908
4,547	0,9909
4,587	0,9909
4,627	0,9910
4,667	0,9910
4,707	0,9911
4,747	0,9912
4,787	0,9912
4,827	0,9913
4,867	0,9914
4,908	0,9914
4,948	0,9915
4,988	0,9915
5,027	0,9916
5,067	0,9916
5,107	0,9916
5,147	0,9917
5,187	0,9917
5,227	0,9917
5,267	0,9917
5,307	0,9917
5,347	0,9917
5,387	0,9918
5,427	0,9918
5,467	0,9918
