t / s	s_A1 / m
0,029	0,1281
0,069	0,1281
0,109	0,1281
0,149	0,1281
0,189	0,1281
0,229	0,1283
0,349	0,1273
0,389	0,1193
0,429	0,1123
0,468	0,1497
0,508	0,1623
0,548	0,1628
0,588	0,1731
0,628	0,1842
0,668	0,1961
0,708	0,2136
0,748	0,2275
0,788	0,2338
0,828	0,2498
0,868	0,2711
0,909	0,2976
0,949	0,3204
0,989	0,3485
1,029	0,3721
1,069	0,3884
1,109	0,3889
1,149	0,4126
1,189	0,4419
1,229	0,4679
1,269	0,5327
1,309	0,5297
1,349	0,5507
1,389	0,5728
1,429	0,6055
1,468	0,6601
1,508	0,6854
1,548	0,7035
1,588	0,7661
1,628	0,7902
1,668	0,8199
1,708	0,8635
1,748	0,8993
1,788	0,9362
1,828	0,9773
1,868	0,9949
1,909	0,9967
1,949	0,9735
1,989	0,9666
2,029	0,9615
2,069	0,9612
2,109	0,9629
2,149	0,9613
2,189	0,9639
2,229	0,9702
2,269	0,9757
2,309	0,9758
2,349	0,9758
2,389	0,9758
2,429	0,9759
2,468	0,9758
2,508	0,9758
2,548	0,9758
2,588	0,9759
2,628	0,9758
2,668	0,9758
