t / s	s_A1 / m
0,013559	0,1112
0,053580	0,1112
0,093621	0,1112
0,133660	0,1135
0,173700	0,1829
0,213741	0,1188
0,253780	0,1199
0,293821	0,1336
0,333861	0,1556
0,373900	0,1817
0,413941	0,2076
0,453980	0,2374
0,494021	0,2874
0,534061	0,3174
0,574100	0,3531
0,614158	0,3891
0,654180	0,4641
0,694221	0,5182
0,734261	0,5529
0,773301	0,6206
0,813346	0,6852
0,853384	0,7496
0,973500	0,9826
1,013540	1,0640
1,053580	1,1072
1,093620	1,1369
1,133660	1,1494
1,173700	1,1147
1,213740	1,0699
1,253780	1,1182
1,293820	1,0522
1,333860	1,0876
1,373900	1,0415
1,413940	1,0066
1,453980	1,0244
1,494020	0,9951
1,534060	1,0235
1,574100	1,0303
1,614140	1,0242
1,654180	1,0227
1,694220	1,0213
1,734260	1,0201
1,773300	1,0237
1,813340	1,0234
1,853384	1,0233
1,893423	1,0232
1,933463	1,0233
1,973498	1,0238
2,013539	1,0202
2,053579	1,0213
2,093618	1,0176
2,133659	1,0136
