t / s	s_A1 / m
0,033562	0,1384
0,073601	0,1384
0,113640	0,1384
0,153681	0,1384
0,193720	0,1384
0,233761	0,1384
0,273801	0,1384
0,313840	0,1384
0,353881	0,1384
0,393920	0,1432
0,433961	0,1419
0,474001	0,1571
0,514040	0,1587
0,554103	0,1766
0,594125	0,1894
0,634165	0,2186
0,674200	0,2336
0,714240	0,2782
0,754281	0,3077
0,794320	0,3284
0,834361	0,3780
0,874401	0,4408
0,914440	0,4585
0,953481	0,5003
0,993521	0,5592
1,113640	0,7251
1,153680	0,7894
1,193720	0,8572
1,233760	0,9287
1,273800	0,9894
1,313840	1,1187
1,353880	1,1470
1,393920	1,1479
1,433960	1,0638
1,474000	0,9872
1,514040	0,9754
1,554080	0,9876
1,594136	0,9871
1,634175	0,9921
1,674216	0,9969
1,714240	0,9971
1,754280	0,9971
1,794320	0,9971
1,834360	0,9971
1,874400	0,9971
1,914440	0,9971
1,953480	0,9971
1,993520	0,9974
