t / s	s_A1 / m
0,027557	0,1149
0,067597	0,1149
0,107637	0,1149
0,147677	0,1152
0,187717	0,1830
0,227757	0,1112
0,267797	0,1104
0,307837	0,1394
0,347877	0,1573
0,387917	0,1793
0,427957	0,1971
0,466997	0,2284
0,507041	0,2872
0,547093	0,3329
0,587132	0,3982
0,627155	0,4092
0,667196	0,4554
0,707236	0,5197
0,747275	0,5613
0,787316	0,6478
0,827355	0,6933
0,867396	0,7741
0,907436	0,8499
0,947475	0,9247
0,987516	0,9915
1,027574	0,4579
1,067595	1,1011
1,107636	0,4558
1,147675	0,4485
1,187716	0,4225
1,227756	0,4627
1,267795	0,4222
1,307836	0,9914
1,347875	0,9734
1,387916	0,9655
1,427956	0,9593
1,466996	0,9461
1,507036	0,9425
1,547092	0,9443
1,587130	0,9471
1,627171	0,9419
1,667195	0,9409
1,707235	0,9399
1,747275	0,9396
1,787315	0,9397
1,827355	0,9401
1,867395	0,9403
1,907435	0,9408
1,947475	0,9411
1,987515	0,9415
2,027555	0,9419
2,067595	0,9424
2,107635	0,9430
2,147675	0,9479
2,187715	0,9482
