t / s	s_A1 / m
0,020	0,1219
0,060	0,1133
0,100	0,1133
0,140	0,1218
0,180	0,1216
0,220	0,1216
0,260	0,1216
0,300	0,1217
0,340	0,1113
0,380	0,1219
0,420	0,1312
0,460	0,1490
0,500	0,1495
0,540	0,2036
0,660	0,1096
0,700	0,1950
0,820	0,1800
0,860	0,1185
0,901	0,1109
0,941	0,1167
0,981	0,1451
1,020	0,1608
1,060	0,1696
1,100	0,1816
1,140	0,2059
1,180	0,2368
1,300	0,3077
1,340	0,3424
1,380	0,3569
1,420	0,3812
1,460	0,4020
1,500	0,4399
1,540	0,4664
1,580	0,4902
1,620	0,5190
1,660	0,5444
1,700	0,5793
1,740	0,5983
1,780	0,6445
1,820	0,6741
1,860	0,7134
1,901	0,7451
1,941	0,7572
1,981	0,8263
2,020	0,8561
2,060	0,8923
2,100	0,9513
2,140	0,9966
2,180	0,9970
2,220	0,9970
2,260	1,0084
2,300	1,0084
2,340	0,9997
2,380	0,9997
2,420	0,9997
2,460	0,9953
2,500	0,9997
2,540	0,9997
2,580	0,9953
2,620	1,0042
2,660	1,0003
2,700	1,0010
2,740	0,9925
2,780	0,9925
