t / s	s_A1 / m
0,019	0,2225
0,059	0,2181
0,099	0,2181
0,139	0,2181
0,179	0,2051
0,219	0,2051
0,259	0,2094
0,299	0,2094
0,339	0,2050
0,379	0,2007
0,419	0,2094
0,459	0,2050
0,499	0,2181
0,539	0,2138
0,579	0,2225
0,699	0,1948
0,739	0,1107
0,779	0,1336
0,819	0,1568
0,859	0,1696
0,900	0,1805
0,939	0,1938
0,979	0,2230
1,019	0,2374
1,059	0,2710
1,099	0,2853
1,139	0,3230
1,179	0,4131
1,219	0,3992
1,259	0,4312
1,299	0,4700
1,339	0,5104
1,379	0,5536
1,419	0,5914
1,459	0,6539
1,499	0,7011
1,539	0,7607
1,579	0,8006
1,619	0,8780
1,659	0,9355
1,699	0,9956
1,739	1,1527
1,779	1,1678
1,819	1,1479
1,859	1,0984
1,900	1,0269
1,939	1,0143
1,979	1,0036
2,019	0,9853
2,059	0,9925
2,099	0,9951
2,139	0,9964
2,179	0,9965
2,219	0,9966
2,259	0,9965
2,299	1,0006
2,339	1,0047
2,379	1,0004
2,419	1,0003
2,459	1,0001
2,499	0,9957
2,539	0,9957
2,579	0,9956
2,619	0,9955
2,659	0,9956
2,699	0,9955
2,739	0,9955
2,779	0,9997
2,819	0,9997
2,859	0,9996
2,900	0,9955
2,939	1,0036
2,979	0,9953
3,019	0,9954
3,059	1,0118
3,099	1,0078
3,139	1,0035
3,179	1,0075
3,219	0,9904
3,259	0,9901
3,299	0,9805
3,339	0,9741
3,379	0,9744
3,419	0,9806
3,459	0,9666
3,499	0,9534
3,539	0,9455
3,579	0,9350
3,619	0,9186
3,659	0,9181
3,699	0,8804
3,739	0,8810
3,779	0,8517
