t / s	U_A1 / V	U_B1 / V
0,0	2,244	0,437
0,1	2,186	0,486
0,2	2,135	0,524
0,3	2,091	0,555
0,4	2,064	0,567
0,5	2,055	0,560
0,6	2,066	0,534
0,7	2,091	0,495
0,8	2,136	0,446
0,9	2,192	0,389
1,0	2,249	0,338
1,1	2,304	0,291
1,2	2,351	0,258
1,3	2,382	0,243
1,4	2,400	0,243
1,5	2,396	0,261
1,6	2,376	0,299
1,7	2,337	0,341
1,8	2,289	0,396
1,9	2,234	0,450
2,0	2,175	0,501
2,1	2,129	0,542
2,2	2,088	0,566
2,3	2,064	0,572
2,4	2,058	0,555
2,5	2,072	0,528
2,6	2,105	0,486
2,7	2,148	0,434
2,8	2,199	0,378
2,9	2,258	0,324
3,0	2,307	0,281
3,1	2,354	0,251
3,2	2,381	0,236
3,3	2,394	0,242
3,4	2,388	0,266
3,5	2,364	0,303
3,6	2,325	0,353
3,7	2,277	0,408
3,8	2,222	0,468
3,9	2,166	0,516
4,0	2,121	0,552
4,1	2,088	0,575
4,2	2,064	0,576
4,3	2,066	0,561
4,4	2,085	0,525
4,5	2,120	0,479
4,6	2,162	0,425
4,7	2,213	0,362
4,8	2,270	0,311
4,9	2,316	0,267
5,0	2,358	0,242
5,1	2,382	0,230
5,2	2,393	0,239
5,3	2,382	0,264
5,4	2,352	0,311
5,5	2,313	0,365
5,6	2,261	0,420
5,7	2,208	0,479
5,8	2,160	0,527
5,9	2,118	0,561
6,0	2,085	0,582
6,1	2,073	0,578
6,2	2,076	0,557
6,3	2,094	0,521
6,4	2,129	0,468
6,5	2,175	0,410
6,6	2,226	0,351
6,7	2,280	0,299
6,8	2,324	0,257
6,9	2,360	0,234
7,0	2,378	0,227
7,1	2,384	0,239
7,2	2,370	0,270
7,3	2,342	0,317
7,4	2,298	0,374
7,5	2,249	0,432
7,6	2,196	0,488
7,7	2,148	0,536
7,8	2,109	0,570
7,9	2,084	0,584
8,0	2,076	0,579
8,1	2,081	0,555
8,2	2,106	0,512
8,3	2,144	0,462
8,4	2,192	0,402
8,5	2,244	0,342
8,6	2,292	0,288
8,7	2,336	0,248
8,8	2,363	0,222
8,9	2,378	0,224
9,0	2,376	0,240
9,1	2,358	0,275
9,2	2,327	0,323
9,3	2,283	0,381
9,4	2,232	0,443
9,5	2,183	0,498
9,6	2,138	0,543
9,7	2,103	0,573
9,8	2,081	0,587
9,9	2,076	0,578
10,0	2,090	0,548
10,1	2,117	0,509
10,2	2,159	0,449
10,3	2,208	0,390
10,4	2,258	0,332
10,5	2,303	0,281
10,6	2,342	0,242
10,7	2,367	0,222
10,8	2,373	0,221
10,9	2,367	0,245
11,0	2,346	0,281
11,1	2,312	0,333
11,2	2,265	0,387
11,3	2,214	0,453
11,4	2,168	0,506
11,5	2,127	0,551
11,6	2,102	0,581
11,7	2,082	0,594
11,8	2,087	0,579
11,9	2,105	0,549
12,0	2,135	0,503
12,1	2,177	0,446
12,2	2,225	0,386
12,3	2,270	0,324
12,4	2,310	0,273
12,5	2,343	0,234
12,6	2,369	0,219
12,7	2,370	0,224
12,8	2,360	0,245
12,9	2,334	0,285
13,0	2,297	0,338
13,1	2,253	0,401
13,2	2,202	0,459
13,3	2,159	0,515
13,4	2,121	0,558
13,5	2,096	0,587
13,6	2,085	0,590
13,7	2,090	0,576
13,8	2,112	0,543
13,9	2,145	0,492
14,0	2,190	0,435
14,1	2,238	0,374
14,2	2,285	0,311
14,3	2,327	0,264
