t / s	U_A1 / V	U_B1 / V
0,0	1,976	0,137
0,1	2,060	0,218
0,2	2,160	0,315
0,3	2,273	0,422
0,4	2,378	0,518
0,5	2,477	0,603
0,6	2,547	0,662
0,7	2,588	0,690
0,8	2,595	0,689
0,9	2,568	0,650
1,0	2,504	0,587
1,1	2,420	0,497
1,2	2,316	0,396
1,3	2,201	0,297
1,4	2,097	0,201
1,5	2,004	0,125
1,6	1,943	0,071
1,7	1,910	0,047
1,8	1,914	0,056
1,9	1,950	0,101
2,0	2,013	0,170
2,1	2,108	0,264
2,2	2,214	0,363
2,3	2,319	0,465
2,4	2,426	0,560
2,5	2,516	0,632
2,6	2,576	0,677
2,7	2,598	0,692
2,8	2,586	0,674
2,9	2,546	0,624
3,0	2,474	0,548
3,1	2,372	0,453
3,2	2,265	0,353
3,3	2,156	0,249
3,4	2,052	0,161
3,5	1,971	0,093
3,6	1,920	0,056
3,7	1,907	0,048
3,8	1,925	0,075
3,9	1,976	0,131
4,0	2,057	0,212
4,1	2,157	0,305
4,2	2,265	0,408
4,3	2,375	0,507
4,4	2,469	0,588
4,5	2,544	0,656
4,6	2,589	0,686
4,7	2,597	0,687
4,8	2,571	0,656
4,9	2,516	0,590
5,0	2,432	0,506
5,1	2,327	0,408
5,2	2,211	0,308
5,3	2,102	0,212
5,4	2,010	0,129
5,5	1,946	0,077
5,6	1,910	0,048
5,7	1,907	0,057
5,8	1,943	0,096
5,9	2,010	0,164
6,0	2,102	0,249
6,1	2,204	0,351
6,2	2,316	0,453
6,3	2,421	0,548
6,4	2,505	0,626
6,5	2,568	0,672
6,6	2,595	0,689
6,7	2,588	0,674
6,8	2,546	0,629
6,9	2,474	0,558
7,0	2,378	0,467
7,1	2,268	0,362
7,2	2,159	0,260
7,3	2,057	0,170
7,4	1,974	0,099
7,5	1,923	0,060
7,6	1,905	0,050
7,7	1,919	0,072
7,8	1,968	0,123
7,9	2,046	0,201
8,0	2,148	0,291
8,1	2,258	0,395
8,2	2,366	0,497
8,3	2,466	0,582
8,4	2,538	0,647
8,5	2,583	0,678
8,6	2,595	0,686
8,7	2,574	0,654
8,8	2,517	0,596
8,9	2,432	0,516
9,0	2,331	0,420
9,1	2,222	0,318
9,2	2,112	0,216
9,3	2,019	0,135
9,4	1,946	0,078
9,5	1,910	0,050
9,6	1,911	0,054
9,7	1,944	0,090
9,8	2,007	0,152
9,9	2,090	0,240
10,0	2,196	0,339
10,1	2,309	0,441
10,2	2,417	0,537
10,3	2,501	0,612
10,4	2,567	0,663
10,5	2,598	0,687
10,6	2,591	0,677
10,7	2,552	0,636
10,8	2,475	0,566
10,9	2,382	0,471
11,0	2,277	0,372
11,1	2,165	0,272
11,2	2,066	0,183
11,3	1,983	0,110
11,4	1,926	0,060
11,5	1,904	0,047
11,6	1,920	0,066
11,7	1,968	0,117
11,8	2,045	0,191
11,9	2,142	0,279
12,0	2,253	0,383
12,1	2,364	0,486
12,2	2,462	0,570
12,3	2,537	0,641
12,4	2,583	0,680
12,5	2,598	0,689
12,6	2,577	0,662
12,7	2,520	0,606
12,8	2,441	0,525
12,9	2,339	0,432
13,0	2,226	0,329
13,1	2,117	0,230
13,2	2,022	0,150
13,3	1,955	0,087
13,4	1,916	0,056
13,5	1,910	0,054
13,6	1,941	0,084
13,7	2,004	0,146
13,8	2,087	0,230
13,9	2,193	0,332
14,0	2,300	0,431
14,1	2,408	0,525
14,2	2,498	0,608
14,3	2,562	0,660
14,4	2,594	0,690
14,5	2,589	0,680
14,6	2,552	0,645
14,7	2,487	0,575
14,8	2,391	0,486
14,9	2,283	0,387
15,0	2,174	0,282
15,1	2,073	0,189
15,2	1,989	0,119
15,3	1,928	0,068
15,4	1,907	0,053
15,5	1,922	0,062
15,6	1,968	0,108
15,7	2,039	0,179
15,8	2,138	0,272
15,9	2,246	0,374
16,0	2,351	0,470
16,1	2,451	0,566
16,2	2,531	0,638
16,3	2,580	0,677
16,4	2,598	0,690
16,5	2,579	0,669
16,6	2,522	0,617
16,7	2,441	0,542
16,8	2,340	0,443
16,9	2,231	0,338
17,0	2,127	0,237
17,1	2,033	0,152
17,2	1,964	0,090
17,3	1,920	0,053
17,4	1,913	0,047
17,5	1,940	0,077
17,6	1,997	0,134
17,7	2,084	0,216
17,8	2,184	0,317
17,9	2,294	0,422
18,0	2,403	0,521
18,1	2,489	0,599
18,2	2,558	0,657
18,3	2,592	0,687
18,4	2,591	0,683
18,5	2,552	0,651
18,6	2,489	0,587
18,7	2,397	0,498
18,8	2,288	0,398
18,9	2,181	0,294
19,0	2,078	0,197
19,1	1,995	0,125
19,2	1,935	0,072
19,3	1,913	0,053
19,4	1,925	0,060
19,5	1,964	0,102
19,6	2,037	0,170
19,7	2,130	0,261
19,8	2,240	0,363
19,9	2,348	0,467
20,0	2,442	0,558
20,1	2,522	0,627
20,2	2,574	0,681
20,3	2,594	0,695
20,4	2,579	0,678
20,5	2,526	0,626
20,6	2,447	0,552
20,7	2,349	0,458
20,8	2,241	0,351
20,9	2,135	0,248
21,0	2,043	0,162
21,1	1,968	0,095
21,2	1,923	0,059
21,3	1,916	0,048
21,4	1,941	0,072
21,5	1,992	0,128
21,6	2,078	0,210
21,7	2,178	0,306
21,8	2,285	0,410
21,9	2,393	0,510
22,0	2,480	0,596
22,1	2,544	0,656
22,2	2,583	0,690
22,3	2,588	0,690
22,4	2,555	0,657
22,5	2,489	0,594
22,6	2,402	0,509
22,7	2,297	0,408
22,8	2,186	0,305
22,9	2,090	0,204
23,0	2,004	0,126
23,1	1,947	0,071
23,2	1,919	0,047
23,3	1,925	0,053
23,4	1,962	0,093
23,5	2,033	0,162
23,6	2,126	0,249
23,7	2,229	0,353
23,8	2,336	0,456
23,9	2,438	0,554
24,0	2,517	0,627
24,1	2,568	0,677
24,2	2,589	0,698
24,3	2,573	0,678
24,4	2,528	0,636
24,5	2,448	0,558
24,6	2,355	0,467
24,7	2,247	0,360
24,8	2,144	0,258
24,9	2,049	0,171
25,0	1,979	0,101
25,1	1,931	0,053
25,2	1,920	0,041
25,3	1,943	0,065
25,4	1,994	0,120
25,5	2,075	0,197
25,6	2,175	0,297
25,7	2,280	0,401
25,8	2,384	0,504
25,9	2,472	0,593
26,0	2,541	0,656
26,1	2,579	0,696
26,2	2,582	0,696
26,3	2,553	0,663
26,4	2,492	0,605
26,5	2,409	0,519
26,6	2,307	0,417
26,7	2,202	0,315
26,8	2,099	0,215
26,9	2,012	0,129
27,0	1,955	0,072
27,1	1,922	0,044
27,2	1,923	0,051
27,3	1,961	0,086
27,4	2,027	0,156
27,5	2,117	0,245
27,6	2,219	0,345
27,7	2,322	0,455
27,8	2,424	0,551
27,9	2,505	0,624
28,0	2,564	0,678
28,1	2,582	0,698
28,2	2,571	0,684
28,3	2,526	0,639
28,4	2,454	0,567
28,5	2,361	0,473
28,6	2,261	0,372
28,7	2,153	0,264
28,8	2,063	0,170
28,9	1,986	0,098
29,0	1,937	0,051
29,1	1,920	0,038
29,2	1,940	0,063
29,3	1,991	0,114
29,4	2,070	0,195
29,5	2,162	0,290
29,6	2,265	0,396
29,7	2,372	0,492
29,8	2,465	0,588
29,9	2,531	0,656
30,0	2,573	0,690
30,1	2,582	0,695
30,2	2,555	0,671
30,3	2,499	0,614
30,4	2,417	0,524
30,5	2,318	0,429
30,6	2,210	0,320
30,7	2,112	0,221
30,8	2,022	0,132
30,9	1,958	0,074
31,0	1,926	0,041
31,1	1,926	0,047
31,2	1,958	0,080
31,3	2,019	0,144
31,4	2,106	0,237
31,5	2,208	0,339
31,6	2,313	0,441
31,7	2,415	0,542
31,8	2,499	0,623
31,9	2,556	0,678
32,0	2,580	0,701
32,1	2,571	0,689
32,2	2,534	0,645
32,3	2,462	0,576
32,4	2,373	0,482
32,5	2,267	0,378
32,6	2,165	0,270
32,7	2,070	0,176
32,8	1,991	0,102
32,9	1,941	0,054
33,0	1,923	0,042
33,1	1,940	0,057
33,2	1,986	0,107
33,3	2,063	0,189
33,4	2,154	0,282
33,5	2,256	0,389
33,6	2,360	0,489
33,7	2,451	0,581
33,8	2,523	0,651
33,9	2,564	0,693
34,0	2,576	0,702
34,1	2,558	0,674
34,2	2,504	0,615
34,3	2,421	0,527
34,4	2,324	0,431
34,5	2,217	0,329
34,6	2,118	0,227
34,7	2,033	0,138
34,8	1,968	0,075
34,9	1,931	0,044
35,0	1,926	0,042
35,1	1,952	0,078
35,2	2,016	0,144
35,3	2,102	0,231
35,4	2,201	0,332
35,5	2,306	0,437
35,6	2,406	0,537
35,7	2,490	0,623
35,8	2,546	0,677
35,9	2,574	0,701
36,0	2,573	0,693
36,1	2,534	0,651
36,2	2,468	0,582
36,3	2,381	0,489
36,4	2,279	0,384
36,5	2,181	0,281
36,6	2,084	0,183
36,7	2,003	0,107
36,8	1,952	0,057
36,9	1,931	0,039
37,0	1,938	0,053
37,1	1,980	0,104
37,2	2,052	0,182
37,3	2,145	0,270
37,4	2,247	0,375
37,5	2,351	0,485
37,6	2,444	0,579
37,7	2,517	0,648
37,8	2,562	0,690
37,9	2,573	0,702
38,0	2,559	0,677
38,1	2,508	0,623
38,2	2,432	0,539
38,3	2,337	0,437
38,4	2,234	0,335
38,5	2,135	0,231
38,6	2,043	0,141
38,7	1,977	0,080
38,8	1,932	0,042
38,9	1,925	0,041
39,0	1,955	0,074
39,1	2,009	0,134
39,2	2,090	0,224
39,3	2,187	0,326
39,4	2,291	0,432
39,5	2,393	0,528
39,6	2,475	0,614
39,7	2,538	0,674
39,8	2,570	0,699
39,9	2,571	0,695
40,0	2,538	0,650
40,1	2,478	0,581
40,2	2,393	0,494
40,3	2,289	0,390
40,4	2,189	0,287
40,5	2,093	0,186
40,6	2,009	0,108
40,7	1,953	0,054
40,8	1,926	0,038
40,9	1,937	0,054
41,0	1,974	0,104
41,1	2,043	0,177
41,2	2,130	0,267
41,3	2,231	0,372
