t / s	U_A1 / V	U_B1 / V
0,0	1,944	0,320
0,1	1,883	0,266
0,2	1,848	0,240
0,3	1,842	0,239
0,4	1,865	0,269
0,5	1,914	0,323
0,6	1,983	0,396
0,7	2,067	0,480
0,8	2,157	0,564
0,9	2,246	0,647
1,0	2,321	0,717
1,1	2,375	0,765
1,2	2,400	0,788
1,3	2,399	0,782
1,4	2,370	0,747
1,5	2,316	0,692
1,6	2,240	0,612
1,7	2,154	0,530
1,8	2,066	0,443
1,9	1,980	0,359
2,0	1,913	0,294
2,1	1,866	0,251
2,2	1,842	0,234
2,3	1,853	0,248
2,4	1,883	0,287
2,5	1,944	0,348
2,6	2,021	0,428
2,7	2,112	0,516
2,8	2,201	0,605
2,9	2,282	0,681
3,0	2,346	0,744
3,1	2,387	0,779
3,2	2,399	0,789
3,3	2,382	0,771
3,4	2,343	0,725
3,5	2,279	0,659
3,6	2,199	0,573
3,7	2,114	0,486
3,8	2,030	0,398
3,9	1,949	0,321
4,0	1,890	0,266
4,1	1,854	0,234
4,2	1,845	0,231
4,3	1,866	0,261
4,4	1,913	0,314
4,5	1,982	0,386
4,6	2,064	0,471
4,7	2,148	0,563
4,8	2,232	0,645
4,9	2,310	0,716
5,0	2,364	0,765
5,1	2,396	0,789
5,2	2,397	0,783
5,3	2,370	0,750
5,4	2,316	0,693
5,5	2,247	0,617
5,6	2,163	0,527
5,7	2,072	0,440
5,8	1,992	0,359
5,9	1,922	0,294
6,0	1,872	0,251
6,1	1,848	0,234
6,2	1,853	0,246
6,3	1,884	0,287
6,4	1,941	0,348
6,5	2,015	0,429
6,6	2,099	0,515
6,7	2,187	0,599
6,8	2,271	0,680
6,9	2,340	0,738
7,0	2,385	0,774
7,1	2,402	0,785
7,2	2,391	0,768
7,3	2,352	0,722
7,4	2,291	0,654
7,5	2,211	0,573
7,6	2,120	0,486
7,7	2,030	0,404
7,8	1,953	0,332
7,9	1,890	0,276
8,0	1,851	0,242
8,1	1,839	0,242
8,2	1,860	0,264
8,3	1,905	0,311
8,4	1,973	0,381
8,5	2,057	0,462
8,6	2,148	0,555
8,7	2,234	0,633
8,8	2,310	0,708
8,9	2,364	0,756
9,0	2,393	0,783
9,1	2,397	0,782
9,2	2,373	0,753
9,3	2,324	0,701
9,4	2,253	0,626
9,5	2,165	0,540
9,6	2,076	0,452
9,7	1,991	0,371
9,8	1,919	0,302
9,9	1,871	0,255
10,0	1,845	0,237
10,1	1,851	0,242
10,2	1,883	0,279
10,3	1,938	0,339
10,4	2,016	0,419
10,5	2,102	0,504
10,6	2,189	0,593
10,7	2,270	0,675
10,8	2,334	0,740
10,9	2,378	0,777
11,0	2,400	0,789
11,1	2,388	0,776
11,2	2,348	0,732
11,3	2,289	0,668
11,4	2,211	0,588
11,5	2,126	0,497
11,6	2,037	0,413
11,7	1,959	0,335
11,8	1,902	0,272
11,9	1,860	0,240
12,0	1,848	0,237
12,1	1,863	0,260
12,2	1,907	0,305
12,3	1,971	0,375
12,4	2,048	0,462
12,5	2,138	0,552
12,6	2,222	0,633
12,7	2,301	0,710
12,8	2,358	0,759
12,9	2,391	0,788
13,0	2,397	0,785
13,1	2,379	0,755
13,2	2,327	0,699
13,3	2,255	0,629
13,4	2,174	0,540
13,5	2,090	0,449
13,6	2,001	0,366
13,7	1,929	0,303
13,8	1,878	0,260
13,9	1,848	0,234
14,0	1,848	0,245
14,1	1,874	0,282
14,2	1,929	0,339
14,3	2,001	0,416
14,4	2,084	0,501
14,5	2,178	0,588
14,6	2,262	0,663
14,7	2,333	0,725
14,8	2,379	0,768
14,9	2,399	0,785
15,0	2,391	0,767
15,1	2,354	0,725
15,2	2,297	0,668
15,3	2,217	0,588
15,4	2,129	0,500
15,5	2,040	0,417
15,6	1,959	0,342
15,7	1,893	0,285
15,8	1,853	0,246
15,9	1,839	0,236
16,0	1,856	0,257
16,1	1,896	0,300
16,2	1,962	0,368
16,3	2,046	0,447
16,4	2,136	0,537
16,5	2,223	0,624
16,6	2,298	0,695
16,7	2,358	0,750
16,8	2,390	0,780
16,9	2,397	0,786
17,0	2,373	0,761
17,1	2,324	0,710
17,2	2,255	0,636
17,3	2,175	0,554
17,4	2,088	0,462
17,5	2,003	0,380
17,6	1,931	0,314
17,7	1,878	0,260
17,8	1,853	0,233
17,9	1,848	0,240
18,0	1,880	0,275
18,1	1,931	0,329
18,2	2,001	0,407
18,3	2,085	0,494
18,4	2,172	0,582
18,5	2,256	0,665
18,6	2,322	0,726
18,7	2,370	0,771
18,8	2,391	0,791
18,9	2,388	0,774
19,0	2,354	0,737
19,1	2,300	0,674
19,2	2,223	0,594
19,3	2,138	0,509
19,4	2,049	0,419
19,5	1,971	0,339
19,6	1,905	0,278
19,7	1,862	0,242
19,8	1,844	0,234
19,9	1,857	0,252
20,0	1,895	0,299
20,1	1,959	0,368
20,2	2,039	0,449
20,3	2,126	0,539
20,4	2,214	0,624
20,5	2,291	0,696
20,6	2,349	0,750
20,7	2,385	0,779
20,8	2,396	0,785
20,9	2,378	0,759
21,0	2,337	0,710
21,1	2,268	0,635
21,2	2,187	0,552
21,3	2,102	0,471
21,4	2,015	0,383
21,5	1,937	0,312
21,6	1,880	0,261
21,7	1,847	0,240
21,8	1,845	0,245
21,9	1,869	0,272
22,0	1,920	0,327
22,1	1,992	0,401
22,2	2,079	0,488
22,3	2,166	0,575
22,4	2,252	0,654
22,5	2,324	0,722
22,6	2,376	0,765
22,7	2,399	0,782
22,8	2,396	0,774
22,9	2,360	0,740
23,0	2,306	0,678
23,1	2,228	0,600
23,2	2,144	0,515
23,3	2,054	0,428
23,4	1,971	0,351
23,5	1,904	0,291
23,6	1,860	0,249
23,7	1,847	0,237
23,8	1,854	0,255
23,9	1,892	0,293
24,0	1,958	0,359
24,1	2,037	0,440
24,2	2,123	0,527
24,3	2,211	0,614
24,4	2,289	0,689
24,5	2,352	0,747
24,6	2,388	0,782
24,7	2,396	0,786
24,8	2,382	0,764
24,9	2,340	0,716
25,0	2,271	0,645
25,1	2,186	0,564
25,2	2,102	0,474
25,3	2,015	0,389
25,4	1,943	0,318
25,5	1,887	0,264
25,6	1,854	0,239
25,7	1,851	0,239
25,8	1,874	0,269
25,9	1,922	0,321
26,0	1,988	0,393
26,1	2,073	0,486
26,2	2,162	0,572
26,3	2,244	0,657
26,4	2,313	0,720
26,5	2,364	0,768
26,6	2,391	0,789
26,7	2,391	0,780
26,8	2,364	0,741
26,9	2,310	0,681
27,0	2,235	0,606
27,1	2,151	0,518
27,2	2,064	0,432
27,3	1,982	0,350
27,4	1,914	0,290
27,5	1,868	0,249
27,6	1,847	0,239
27,7	1,854	0,251
27,8	1,889	0,296
27,9	1,947	0,360
28,0	2,024	0,441
28,1	2,114	0,525
28,2	2,201	0,612
28,3	2,282	0,687
28,4	2,345	0,744
28,5	2,388	0,779
28,6	2,402	0,783
28,7	2,385	0,764
28,8	2,345	0,716
28,9	2,280	0,647
29,0	2,195	0,566
29,1	2,111	0,480
29,2	2,022	0,395
29,3	1,943	0,324
29,4	1,886	0,275
29,5	1,848	0,248
29,6	1,845	0,243
29,7	1,868	0,270
29,8	1,916	0,323
29,9	1,985	0,393
30,0	2,069	0,476
30,1	2,156	0,563
30,2	2,243	0,645
30,3	2,318	0,708
30,4	2,370	0,758
30,5	2,400	0,782
30,6	2,399	0,779
30,7	2,369	0,744
30,8	2,313	0,686
30,9	2,238	0,614
31,0	2,156	0,530
31,1	2,067	0,443
31,2	1,982	0,362
31,3	1,913	0,296
31,4	1,868	0,255
31,5	1,850	0,239
31,6	1,857	0,246
31,7	1,895	0,288
31,8	1,950	0,350
31,9	2,027	0,426
32,0	2,108	0,516
32,1	2,195	0,605
32,2	2,277	0,680
32,3	2,339	0,738
32,4	2,382	0,773
32,5	2,397	0,788
32,6	2,385	0,771
32,7	2,345	0,723
32,8	2,279	0,656
32,9	2,201	0,570
33,0	2,112	0,486
33,1	2,027	0,401
33,2	1,956	0,321
33,3	1,898	0,270
33,4	1,860	0,240
33,5	1,853	0,239
33,6	1,869	0,263
33,7	1,911	0,314
33,8	1,977	0,387
33,9	2,063	0,474
34,0	2,147	0,563
34,1	2,232	0,641
34,2	2,304	0,714
34,3	2,360	0,759
34,4	2,391	0,783
34,5	2,396	0,777
34,6	2,369	0,743
34,7	2,319	0,686
34,8	2,250	0,612
34,9	2,166	0,528
35,0	2,079	0,443
35,1	1,994	0,365
35,2	1,925	0,302
35,3	1,874	0,258
35,4	1,848	0,240
35,5	1,853	0,252
35,6	1,883	0,290
35,7	1,938	0,353
35,8	2,016	0,429
35,9	2,102	0,512
36,0	2,190	0,594
36,1	2,271	0,675
36,2	2,342	0,734
36,3	2,382	0,771
36,4	2,399	0,780
36,5	2,385	0,761
36,6	2,345	0,717
36,7	2,283	0,651
36,8	2,204	0,576
36,9	2,115	0,488
37,0	2,030	0,404
37,1	1,952	0,333
37,2	1,890	0,278
37,3	1,854	0,246
37,4	1,844	0,240
37,5	1,862	0,264
37,6	1,908	0,314
37,7	1,977	0,381
37,8	2,058	0,462
37,9	2,147	0,551
38,0	2,234	0,632
38,1	2,310	0,704
38,2	2,364	0,753
