t / s	U_A1 / V	U_B1 / V
0,0	2,204	0,557
0,1	2,316	0,672
0,2	2,412	0,767
0,3	2,484	0,833
0,4	2,520	0,860
0,5	2,519	0,846
0,6	2,483	0,801
0,7	2,412	0,716
0,8	2,312	0,606
0,9	2,196	0,486
1,0	2,079	0,363
1,1	1,965	0,252
1,2	1,872	0,168
1,3	1,811	0,113
1,4	1,781	0,098
1,5	1,788	0,117
1,6	1,833	0,177
1,7	1,911	0,260
1,8	2,015	0,377
1,9	2,132	0,498
2,0	2,253	0,617
2,1	2,358	0,720
2,2	2,448	0,803
2,3	2,505	0,849
2,4	2,529	0,858
2,5	2,513	0,825
2,6	2,454	0,759
2,7	2,370	0,665
2,8	2,265	0,546
2,9	2,145	0,423
3,0	2,028	0,311
3,1	1,923	0,213
3,2	1,838	0,140
3,3	1,785	0,102
3,4	1,773	0,105
3,5	1,799	0,144
3,6	1,863	0,221
3,7	1,950	0,317
3,8	2,066	0,434
3,9	2,189	0,551
4,0	2,307	0,665
4,1	2,411	0,758
4,2	2,489	0,821
4,3	2,528	0,848
4,4	2,534	0,839
4,5	2,495	0,788
4,6	2,423	0,710
4,7	2,324	0,606
4,8	2,211	0,491
4,9	2,088	0,375
5,0	1,970	0,269
5,1	1,874	0,180
5,2	1,805	0,128
5,3	1,770	0,110
5,4	1,778	0,125
5,5	1,821	0,180
5,6	1,899	0,261
5,7	2,004	0,366
5,8	2,126	0,485
5,9	2,252	0,597
6,0	2,364	0,704
6,1	2,459	0,785
6,2	2,520	0,834
6,3	2,544	0,845
6,4	2,529	0,815
6,5	2,468	0,758
6,6	2,381	0,671
6,7	2,268	0,563
6,8	2,147	0,446
6,9	2,024	0,330
7,0	1,917	0,234
7,1	1,833	0,158
7,2	1,779	0,119
7,3	1,767	0,111
7,4	1,796	0,144
7,5	1,859	0,210
7,6	1,955	0,299
7,7	2,070	0,411
7,8	2,198	0,530
7,9	2,315	0,641
8,0	2,411	0,737
8,1	2,493	0,806
8,2	2,534	0,842
8,3	2,537	0,839
8,4	2,499	0,798
8,5	2,427	0,728
8,6	2,325	0,630
8,7	2,204	0,515
8,8	2,081	0,395
8,9	1,970	0,288
9,0	1,871	0,198
9,1	1,805	0,138
9,2	1,772	0,108
9,3	1,781	0,117
9,4	1,824	0,165
9,5	1,905	0,243
9,6	2,012	0,345
9,7	2,130	0,467
9,8	2,253	0,585
9,9	2,364	0,689
10,0	2,454	0,777
10,1	2,511	0,830
10,2	2,534	0,849
10,3	2,514	0,831
10,4	2,460	0,777
10,5	2,375	0,690
10,6	2,267	0,581
10,7	2,142	0,458
10,8	2,027	0,345
10,9	1,922	0,239
11,0	1,838	0,161
11,1	1,790	0,113
11,2	1,778	0,096
11,3	1,803	0,125
11,4	1,866	0,195
11,5	1,958	0,285
11,6	2,067	0,401
11,7	2,187	0,519
11,8	2,298	0,639
11,9	2,399	0,743
12,0	2,475	0,815
12,1	2,516	0,851
12,2	2,520	0,854
12,3	2,487	0,813
12,4	2,420	0,743
12,5	2,325	0,644
12,6	2,208	0,521
12,7	2,090	0,398
12,8	1,976	0,284
12,9	1,886	0,194
13,0	1,818	0,126
13,1	1,787	0,096
13,2	1,790	0,107
13,3	1,827	0,155
13,4	1,902	0,234
13,5	2,001	0,339
13,6	2,114	0,462
13,7	2,231	0,587
13,8	2,345	0,698
13,9	2,435	0,785
14,0	2,493	0,839
14,1	2,520	0,855
14,2	2,511	0,836
14,3	2,462	0,777
14,4	2,378	0,690
14,5	2,276	0,581
14,6	2,163	0,458
14,7	2,051	0,336
14,8	1,943	0,231
14,9	1,856	0,150
15,0	1,806	0,107
15,1	1,784	0,096
15,2	1,805	0,126
15,3	1,856	0,194
15,4	1,941	0,287
15,5	2,051	0,402
15,6	2,166	0,527
15,7	2,279	0,642
15,8	2,385	0,743
15,9	2,466	0,815
16,0	2,511	0,852
16,1	2,522	0,852
16,2	2,493	0,812
16,3	2,430	0,735
16,4	2,340	0,635
16,5	2,231	0,519
16,6	2,112	0,401
16,7	1,997	0,287
16,8	1,896	0,194
16,9	1,826	0,128
17,0	1,787	0,102
17,1	1,784	0,114
17,2	1,820	0,161
17,3	1,889	0,243
17,4	1,983	0,345
17,5	2,094	0,465
17,6	2,217	0,587
17,7	2,333	0,695
17,8	2,427	0,777
17,9	2,490	0,828
18,0	2,528	0,848
18,1	2,523	0,830
18,2	2,480	0,774
18,3	2,403	0,689
18,4	2,298	0,578
18,5	2,177	0,461
18,6	2,061	0,344
18,7	1,949	0,245
18,8	1,859	0,162
18,9	1,799	0,117
19,0	1,773	0,111
19,1	1,788	0,140
19,2	1,839	0,198
19,3	1,926	0,288
19,4	2,031	0,399
19,5	2,151	0,521
19,6	2,274	0,629
19,7	2,385	0,725
19,8	2,472	0,797
19,9	2,525	0,836
20,0	2,538	0,837
20,1	2,510	0,803
20,2	2,451	0,735
20,3	2,357	0,639
20,4	2,241	0,527
20,5	2,117	0,411
20,6	1,997	0,303
20,7	1,895	0,213
20,8	1,817	0,147
20,9	1,779	0,117
21,0	1,776	0,126
21,1	1,808	0,165
21,2	1,881	0,237
21,3	1,983	0,341
21,4	2,100	0,449
21,5	2,219	0,561
21,6	2,337	0,666
21,7	2,438	0,756
21,8	2,501	0,815
21,9	2,537	0,843
22,0	2,529	0,828
22,1	2,484	0,782
22,2	2,403	0,701
22,3	2,300	0,597
22,4	2,175	0,483
22,5	2,054	0,369
22,6	1,941	0,263
22,7	1,851	0,182
22,8	1,791	0,131
22,9	1,769	0,114
23,0	1,787	0,132
23,1	1,844	0,191
23,2	1,929	0,276
23,3	2,040	0,380
23,4	2,162	0,494
23,5	2,283	0,612
23,6	2,391	0,713
23,7	2,475	0,792
23,8	2,525	0,837
23,9	2,535	0,848
24,0	2,508	0,816
24,1	2,444	0,752
24,2	2,349	0,663
24,3	2,238	0,552
24,4	2,121	0,435
24,5	2,001	0,320
24,6	1,899	0,225
24,7	1,826	0,150
24,8	1,784	0,113
24,9	1,788	0,108
25,0	1,821	0,146
25,1	1,890	0,216
25,2	1,986	0,315
25,3	2,099	0,432
25,4	2,220	0,549
25,5	2,331	0,660
25,6	2,426	0,755
25,7	2,498	0,824
25,8	2,528	0,852
25,9	2,523	0,845
26,0	2,474	0,798
26,1	2,399	0,719
26,2	2,297	0,617
26,3	2,180	0,494
26,4	2,061	0,377
26,5	1,955	0,267
26,6	1,871	0,179
26,7	1,812	0,120
26,8	1,784	0,096
26,9	1,800	0,117
27,0	1,851	0,177
27,1	1,934	0,261
27,2	2,036	0,368
27,3	2,151	0,491
27,4	2,264	0,611
27,5	2,369	0,719
27,6	2,454	0,800
27,7	2,505	0,845
27,8	2,520	0,854
27,9	2,496	0,827
28,0	2,441	0,764
28,1	2,355	0,671
28,2	2,249	0,557
28,3	2,135	0,434
28,4	2,016	0,317
28,5	1,914	0,215
28,6	1,842	0,141
28,7	1,799	0,104
28,8	1,790	0,104
28,9	1,818	0,138
29,0	1,881	0,213
29,1	1,973	0,315
29,2	2,079	0,432
29,3	2,196	0,554
29,4	2,312	0,668
29,5	2,406	0,762
29,6	2,478	0,824
29,7	2,513	0,857
29,8	2,516	0,851
29,9	2,481	0,801
30,0	2,412	0,720
30,1	2,316	0,614
30,2	2,204	0,494
30,3	2,084	0,374
30,4	1,974	0,260
30,5	1,883	0,174
30,6	1,817	0,120
30,7	1,782	0,101
30,8	1,791	0,122
30,9	1,836	0,180
31,0	1,910	0,266
31,1	2,013	0,377
31,2	2,130	0,495
31,3	2,243	0,611
31,4	2,351	0,717
31,5	2,439	0,797
31,6	2,496	0,839
31,7	2,525	0,849
31,8	2,508	0,818
31,9	2,460	0,758
32,0	2,372	0,665
32,1	2,265	0,552
32,2	2,150	0,431
32,3	2,031	0,317
32,4	1,923	0,219
32,5	1,842	0,150
32,6	1,794	0,113
32,7	1,781	0,116
32,8	1,803	0,155
32,9	1,863	0,224
33,0	1,953	0,320
33,1	2,064	0,432
33,2	2,186	0,551
