t / s	U_A1 / V	U_B1 / V
0,0	2,346	0,512
0,1	2,244	0,510
0,2	2,126	0,512
0,3	2,007	0,515
0,4	1,901	0,510
0,5	1,826	0,500
0,6	1,790	0,480
0,7	1,797	0,456
0,8	1,841	0,428
0,9	1,925	0,398
1,0	2,031	0,383
1,1	2,147	0,380
1,2	2,250	0,401
1,3	2,336	0,435
1,4	2,387	0,485
1,5	2,405	0,549
1,6	2,384	0,620
1,7	2,328	0,681
1,8	2,255	0,725
1,9	2,165	0,744
2,0	2,076	0,728
2,1	2,001	0,684
2,2	1,949	0,615
2,3	1,920	0,524
2,4	1,922	0,423
2,5	1,947	0,330
2,6	1,991	0,255
2,7	2,042	0,210
2,8	2,094	0,206
2,9	2,142	0,236
3,0	2,180	0,306
3,1	2,196	0,405
3,2	2,205	0,521
3,3	2,196	0,638
3,4	2,186	0,738
3,5	2,169	0,813
3,6	2,154	0,845
3,7	2,151	0,834
3,8	2,151	0,777
3,9	2,153	0,690
4,0	2,160	0,579
4,1	2,163	0,459
4,2	2,157	0,347
4,3	2,144	0,255
4,4	2,124	0,200
4,5	2,090	0,185
4,6	2,048	0,213
4,7	2,010	0,275
4,8	1,977	0,366
4,9	1,959	0,473
5,0	1,961	0,579
5,1	1,985	0,668
5,2	2,033	0,734
5,3	2,094	0,767
5,4	2,169	0,767
5,5	2,249	0,731
5,6	2,316	0,669
5,7	2,361	0,596
5,8	2,379	0,516
5,9	2,366	0,444
6,0	2,313	0,383
6,1	2,232	0,353
6,2	2,129	0,342
6,3	2,024	0,354
6,4	1,928	0,381
6,5	1,851	0,420
6,6	1,811	0,459
6,7	1,805	0,495
6,8	1,841	0,527
6,9	1,914	0,543
7,0	2,019	0,554
7,1	2,136	0,551
7,2	2,255	0,549
7,3	2,352	0,542
7,4	2,424	0,539
7,5	2,456	0,542
7,6	2,445	0,554
7,7	2,390	0,561
7,8	2,301	0,575
7,9	2,192	0,584
8,0	2,070	0,584
8,1	1,962	0,569
8,2	1,878	0,546
8,3	1,826	0,506
8,4	1,814	0,456
8,5	1,841	0,407
8,6	1,901	0,359
8,7	1,986	0,327
8,8	2,082	0,314
8,9	2,181	0,329
9,0	2,261	0,371
9,1	2,322	0,434
9,2	2,352	0,516
9,3	2,348	0,605
9,4	2,318	0,683
9,5	2,265	0,744
9,6	2,201	0,779
9,7	2,132	0,782
9,8	2,069	0,744
9,9	2,021	0,677
10,0	1,994	0,581
10,1	1,991	0,473
10,2	1,998	0,363
10,3	2,021	0,269
10,4	2,045	0,203
10,5	2,075	0,179
10,6	2,097	0,194
10,7	2,120	0,255
10,8	2,126	0,344
10,9	2,130	0,458
11,0	2,130	0,581
11,1	2,127	0,692
11,2	2,130	0,782
11,3	2,139	0,827
11,4	2,156	0,839
11,5	2,175	0,806
11,6	2,199	0,735
11,7	2,220	0,636
11,8	2,232	0,521
11,9	2,226	0,408
12,0	2,208	0,318
12,1	2,172	0,249
12,2	2,121	0,219
12,3	2,063	0,230
12,4	1,998	0,270
12,5	1,944	0,338
12,6	1,911	0,425
12,7	1,899	0,518
12,8	1,916	0,603
12,9	1,968	0,666
13,0	2,040	0,705
13,1	2,126	0,716
13,2	2,225	0,701
13,3	2,313	0,663
13,4	2,379	0,608
13,5	2,412	0,551
13,6	2,414	0,501
13,7	2,372	0,455
13,8	2,298	0,428
