t / s	U_A1 / V	U_B1 / V
0,0	1,992	0,638
0,1	2,049	0,582
0,2	2,120	0,516
0,3	2,189	0,443
0,4	2,249	0,389
0,5	2,286	0,357
0,6	2,298	0,347
0,7	2,282	0,363
0,8	2,237	0,404
0,9	2,174	0,465
1,0	2,102	0,533
1,1	2,033	0,594
1,2	1,976	0,641
1,3	1,946	0,669
1,4	1,943	0,669
1,5	1,967	0,642
1,6	2,019	0,590
1,7	2,085	0,525
1,8	2,157	0,461
1,9	2,222	0,402
2,0	2,273	0,363
2,1	2,298	0,348
2,2	2,297	0,357
2,3	2,265	0,395
2,4	2,210	0,452
2,5	2,142	0,516
2,6	2,067	0,582
2,7	2,006	0,638
2,8	1,962	0,668
2,9	1,947	0,674
3,0	1,961	0,650
3,1	1,995	0,608
3,2	2,051	0,548
3,3	2,121	0,474
3,4	2,192	0,413
3,5	2,244	0,365
3,6	2,280	0,338
3,7	2,283	0,339
3,8	2,267	0,369
3,9	2,226	0,425
4,0	2,165	0,491
4,1	2,099	0,564
4,2	2,034	0,627
4,3	1,989	0,669
4,4	1,962	0,686
4,5	1,965	0,674
4,6	1,991	0,638
4,7	2,039	0,578
4,8	2,102	0,509
4,9	2,169	0,437
5,0	2,226	0,380
5,1	2,264	0,342
5,2	2,282	0,329
5,3	2,271	0,347
5,4	2,231	0,389
5,5	2,178	0,453
5,6	2,115	0,527
5,7	2,052	0,594
5,8	1,998	0,647
5,9	1,967	0,680
6,0	1,962	0,684
6,1	1,982	0,663
6,2	2,022	0,615
6,3	2,087	0,548
6,4	2,159	0,477
6,5	2,217	0,414
6,6	2,261	0,365
6,7	2,283	0,342
6,8	2,280	0,341
6,9	2,250	0,374
7,0	2,201	0,423
7,1	2,129	0,495
7,2	2,061	0,557
7,3	2,003	0,617
7,4	1,962	0,657
7,5	1,947	0,674
7,6	1,955	0,662
7,7	1,997	0,624
7,8	2,055	0,569
7,9	2,127	0,504
8,0	2,195	0,441
8,1	2,256	0,387
8,2	2,289	0,357
8,3	2,298	0,351
8,4	2,280	0,372
8,5	2,232	0,414
8,6	2,168	0,477
8,7	2,100	0,540
8,8	2,031	0,603
8,9	1,976	0,644
9,0	1,947	0,666
9,1	1,943	0,662
9,2	1,970	0,632
9,3	2,021	0,579
9,4	2,087	0,518
9,5	2,160	0,452
9,6	2,222	0,396
9,7	2,273	0,357
9,8	2,294	0,350
9,9	2,288	0,362
10,0	2,256	0,404
10,1	2,201	0,462
10,2	2,138	0,528
10,3	2,066	0,590
10,4	2,006	0,644
10,5	1,965	0,672
10,6	1,950	0,674
10,7	1,967	0,651
10,8	2,003	0,602
10,9	2,055	0,536
11,0	2,126	0,467
11,1	2,192	0,408
11,2	2,244	0,359
11,3	2,274	0,335
11,4	2,280	0,336
11,5	2,258	0,372
11,6	2,214	0,428
11,7	2,156	0,500
11,8	2,090	0,570
11,9	2,028	0,627
12,0	1,985	0,671
12,1	1,961	0,689
12,2	1,967	0,675
12,3	1,998	0,636
12,4	2,048	0,575
12,5	2,106	0,503
12,6	2,172	0,434
12,7	2,231	0,381
12,8	2,267	0,342
12,9	2,280	0,333
13,0	2,265	0,351
13,1	2,223	0,395
13,2	2,171	0,459
13,3	2,102	0,530
13,4	2,040	0,596
