t / s	U_A1 / V	U_B1 / V
0,0	1,959	0,470
0,1	1,880	0,468
0,2	1,836	0,459
0,3	1,829	0,453
0,4	1,859	0,441
0,5	1,922	0,431
0,6	2,015	0,417
0,7	2,121	0,416
0,8	2,228	0,420
0,9	2,327	0,428
1,0	2,405	0,450
1,1	2,451	0,471
1,2	2,466	0,503
1,3	2,441	0,534
1,4	2,387	0,561
1,5	2,304	0,581
1,6	2,207	0,590
1,7	2,102	0,593
1,8	2,009	0,573
1,9	1,928	0,542
2,0	1,878	0,500
2,1	1,862	0,450
2,2	1,880	0,396
2,3	1,929	0,351
2,4	2,000	0,315
2,5	2,087	0,299
2,6	2,180	0,300
2,7	2,268	0,324
2,8	2,340	0,366
2,9	2,385	0,422
3,0	2,405	0,489
3,1	2,400	0,558
3,2	2,360	0,620
3,3	2,295	0,666
3,4	2,223	0,696
3,5	2,145	0,699
3,6	2,069	0,672
3,7	2,006	0,621
3,8	1,962	0,552
3,9	1,943	0,470
4,0	1,949	0,384
4,1	1,977	0,308
4,2	2,025	0,248
4,3	2,084	0,213
4,4	2,147	0,206
4,5	2,204	0,231
4,6	2,256	0,285
4,7	2,289	0,366
4,8	2,309	0,458
4,9	2,306	0,555
5,0	2,289	0,648
5,1	2,255	0,717
5,2	2,213	0,758
5,3	2,171	0,771
5,4	2,130	0,747
5,5	2,091	0,690
5,6	2,069	0,611
5,7	2,057	0,513
5,8	2,055	0,405
5,9	2,067	0,306
6,0	2,087	0,227
6,1	2,103	0,177
6,2	2,126	0,155
6,3	2,150	0,177
6,4	2,166	0,230
6,5	2,180	0,314
6,6	2,186	0,416
6,7	2,189	0,528
6,8	2,186	0,632
6,9	2,178	0,717
7,0	2,174	0,774
7,1	2,171	0,797
7,2	2,171	0,783
7,3	2,172	0,732
7,4	2,177	0,651
7,5	2,178	0,554
7,6	2,180	0,446
7,7	2,180	0,339
7,8	2,172	0,251
7,9	2,160	0,185
8,0	2,145	0,162
8,1	2,127	0,167
8,2	2,102	0,209
8,3	2,078	0,284
8,4	2,064	0,375
8,5	2,057	0,483
8,6	2,061	0,588
8,7	2,078	0,674
8,8	2,105	0,738
8,9	2,142	0,773
9,0	2,184	0,768
9,1	2,222	0,732
9,2	2,262	0,669
9,3	2,291	0,582
9,4	2,301	0,482
9,5	2,298	0,386
9,6	2,276	0,308
9,7	2,235	0,243
9,8	2,183	0,207
9,9	2,127	0,209
10,0	2,063	0,236
10,1	2,006	0,290
10,2	1,967	0,363
10,3	1,947	0,447
10,4	1,952	0,531
10,5	1,979	0,603
10,6	2,024	0,663
10,7	2,093	0,693
10,8	2,168	0,699
10,9	2,247	0,681
11,0	2,316	0,636
11,1	2,372	0,575
11,2	2,400	0,507
11,3	2,402	0,441
11,4	2,372	0,383
11,5	2,315	0,332
11,6	2,241	0,300
11,7	2,150	0,293
11,8	2,055	0,311
11,9	1,976	0,338
12,0	1,911	0,381
12,1	1,874	0,435
12,2	1,869	0,486
12,3	1,895	0,530
12,4	1,955	0,564
12,5	2,033	0,588
12,6	2,130	0,596
12,7	2,231	0,593
12,8	2,325	0,572
12,9	2,405	0,543
13,0	2,450	0,509
13,1	2,462	0,479
13,2	2,436	0,449
13,3	2,381	0,428
13,4	2,295	0,416
13,5	2,195	0,408
13,6	2,084	0,413
13,7	1,983	0,425
13,8	1,902	0,437
13,9	1,848	0,450
14,0	1,830	0,461
14,1	1,848	0,467
14,2	1,905	0,471
14,3	1,991	0,474
14,4	2,093	0,470
14,5	2,201	0,471
14,6	2,306	0,474
14,7	2,393	0,477
14,8	2,453	0,477
14,9	2,475	0,495
15,0	2,460	0,504
15,1	2,409	0,519
15,2	2,328	0,530
15,3	2,228	0,536
15,4	2,121	0,539
15,5	2,018	0,531
15,6	1,935	0,518
15,7	1,872	0,492
15,8	1,844	0,462
