t / s	U_A1 / V	U_B1 / V
0,0	2,154	0,495
0,1	2,093	0,546
0,2	2,039	0,587
0,3	2,009	0,608
0,4	2,001	0,605
0,5	2,015	0,582
0,6	2,048	0,543
0,7	2,099	0,492
0,8	2,162	0,429
0,9	2,226	0,372
1,0	2,286	0,318
1,1	2,333	0,282
1,2	2,364	0,258
1,3	2,372	0,267
1,4	2,354	0,293
1,5	2,319	0,338
1,6	2,267	0,393
1,7	2,205	0,453
1,8	2,144	0,513
1,9	2,088	0,563
2,0	2,042	0,599
2,1	2,010	0,612
2,2	2,006	0,609
2,3	2,024	0,578
2,4	2,063	0,533
2,5	2,117	0,476
2,6	2,174	0,414
2,7	2,237	0,354
2,8	2,294	0,306
2,9	2,336	0,270
3,0	2,360	0,260
3,1	2,363	0,269
3,2	2,346	0,299
3,3	2,310	0,348
3,4	2,256	0,407
3,5	2,198	0,467
3,6	2,136	0,528
3,7	2,081	0,578
3,8	2,039	0,608
3,9	2,016	0,623
4,0	2,016	0,608
4,1	2,034	0,576
4,2	2,076	0,528
4,3	2,129	0,468
4,4	2,192	0,404
4,5	2,253	0,341
4,6	2,304	0,291
4,7	2,339	0,263
4,8	2,360	0,254
4,9	2,357	0,267
5,0	2,333	0,302
5,1	2,294	0,350
5,2	2,241	0,414
5,3	2,184	0,479
5,4	2,121	0,539
5,5	2,070	0,585
5,6	2,039	0,617
5,7	2,021	0,623
5,8	2,025	0,608
5,9	2,051	0,573
6,0	2,094	0,524
6,1	2,147	0,461
6,2	2,207	0,393
6,3	2,262	0,330
6,4	2,312	0,284
6,5	2,345	0,254
6,6	2,354	0,249
6,7	2,345	0,269
6,8	2,316	0,302
6,9	2,271	0,357
7,0	2,217	0,422
7,1	2,159	0,488
7,2	2,105	0,551
7,3	2,060	0,597
7,4	2,028	0,621
7,5	2,022	0,626
7,6	2,031	0,608
7,7	2,063	0,567
7,8	2,109	0,513
7,9	2,169	0,447
8,0	2,226	0,384
8,1	2,280	0,327
8,2	2,322	0,281
8,3	2,351	0,252
8,4	2,358	0,248
8,5	2,340	0,270
8,6	2,304	0,308
8,7	2,255	0,365
8,8	2,202	0,429
8,9	2,144	0,492
9,0	2,088	0,554
9,1	2,048	0,597
9,2	2,027	0,624
9,3	2,019	0,624
9,4	2,040	0,602
9,5	2,075	0,563
9,6	2,130	0,507
9,7	2,184	0,443
9,8	2,243	0,375
9,9	2,298	0,318
10,0	2,333	0,281
10,1	2,354	0,255
10,2	2,355	0,255
10,3	2,331	0,276
10,4	2,291	0,318
10,5	2,240	0,374
10,6	2,184	0,438
10,7	2,123	0,504
10,8	2,070	0,558
10,9	2,031	0,602
11,0	2,018	0,620
11,1	2,021	0,621
11,2	2,048	0,597
11,3	2,088	0,552
11,4	2,141	0,494
11,5	2,201	0,432
11,6	2,261	0,366
11,7	2,309	0,317
11,8	2,343	0,279
11,9	2,361	0,261
12,0	2,355	0,261
12,1	2,330	0,287
12,2	2,285	0,332
12,3	2,231	0,390
12,4	2,166	0,455
12,5	2,106	0,513
12,6	2,054	0,563
12,7	2,022	0,596
12,8	2,009	0,611
12,9	2,018	0,606
13,0	2,049	0,579
13,1	2,097	0,534
13,2	2,160	0,479
13,3	2,219	0,417
13,4	2,277	0,362
13,5	2,327	0,308
13,6	2,357	0,276
13,7	2,367	0,267
13,8	2,355	0,276
13,9	2,328	0,302
14,0	2,277	0,345
14,1	2,217	0,404
14,2	2,148	0,462
14,3	2,088	0,521
14,4	2,043	0,566
14,5	2,015	0,599
14,6	2,000	0,611
14,7	2,015	0,599
14,8	2,052	0,567
14,9	2,108	0,521
15,0	2,163	0,462
15,1	2,231	0,404
15,2	2,288	0,350
15,3	2,336	0,305
15,4	2,366	0,278
15,5	2,372	0,272
15,6	2,360	0,284
15,7	2,327	0,318
15,8	2,273	0,365
15,9	2,208	0,423
16,0	2,141	0,479
16,1	2,082	0,531
16,2	2,036	0,575
