t / s	U_A1 / V	U_B1 / V
0,0	2,399	0,201
0,1	2,363	0,248
0,2	2,313	0,303
0,3	2,258	0,365
0,4	2,202	0,431
0,5	2,150	0,488
0,6	2,109	0,533
0,7	2,084	0,560
0,8	2,073	0,569
0,9	2,085	0,555
1,0	2,118	0,522
1,1	2,166	0,470
1,2	2,220	0,410
1,3	2,280	0,347
1,4	2,334	0,285
1,5	2,381	0,231
1,6	2,414	0,195
1,7	2,432	0,174
1,8	2,427	0,180
1,9	2,402	0,206
2,0	2,366	0,243
2,1	2,313	0,302
2,2	2,256	0,365
2,3	2,196	0,426
2,4	2,144	0,485
2,5	2,108	0,530
2,6	2,079	0,558
2,7	2,076	0,567
2,8	2,091	0,552
2,9	2,123	0,518
3,0	2,171	0,474
3,1	2,225	0,411
3,2	2,285	0,350
3,3	2,340	0,285
3,4	2,388	0,233
3,5	2,414	0,197
3,6	2,430	0,177
3,7	2,424	0,183
3,8	2,400	0,207
3,9	2,361	0,246
4,0	2,309	0,300
4,1	2,250	0,365
4,2	2,192	0,429
4,3	2,139	0,485
4,4	2,099	0,530
4,5	2,076	0,558
4,6	2,073	0,567
4,7	2,091	0,554
4,8	2,124	0,519
4,9	2,172	0,468
5,0	2,226	0,408
5,1	2,285	0,345
5,2	2,343	0,287
5,3	2,388	0,231
5,4	2,418	0,197
5,5	2,432	0,182
5,6	2,427	0,185
5,7	2,402	0,206
5,8	2,360	0,252
5,9	2,304	0,300
6,0	2,249	0,366
6,1	2,190	0,425
6,2	2,139	0,485
6,3	2,100	0,530
6,4	2,076	0,554
6,5	2,072	0,560
6,6	2,088	0,546
6,7	2,123	0,516
6,8	2,168	0,467
6,9	2,231	0,407
7,0	2,288	0,342
7,1	2,348	0,284
7,2	2,394	0,233
7,3	2,421	0,198
7,4	2,435	0,183
7,5	2,424	0,183
7,6	2,400	0,207
7,7	2,360	0,249
7,8	2,303	0,303
7,9	2,244	0,363
8,0	2,187	0,423
8,1	2,133	0,480
8,2	2,097	0,522
8,3	2,075	0,552
8,4	2,070	0,561
8,5	2,088	0,546
8,6	2,118	0,512
8,7	2,172	0,464
8,8	2,229	0,404
8,9	2,289	0,344
9,0	2,346	0,284
9,1	2,393	0,236
9,2	2,421	0,198
9,3	2,439	0,183
9,4	2,430	0,188
9,5	2,405	0,209
9,6	2,361	0,248
9,7	2,304	0,303
9,8	2,246	0,363
9,9	2,184	0,428
10,0	2,135	0,480
10,1	2,094	0,524
10,2	2,067	0,549
10,3	2,066	0,554
10,4	2,084	0,543
10,5	2,118	0,509
10,6	2,169	0,464
