t / s	U_A1 / V	U_B1 / V
0,0	2,510	0,497
0,1	2,484	0,549
0,2	2,420	0,603
0,3	2,325	0,645
0,4	2,210	0,669
0,5	2,094	0,669
0,6	1,992	0,645
0,7	1,910	0,594
0,8	1,865	0,527
0,9	1,851	0,444
1,0	1,877	0,360
1,1	1,937	0,284
1,2	2,021	0,228
1,3	2,114	0,203
1,4	2,207	0,210
1,5	2,283	0,251
1,6	2,339	0,324
1,7	2,370	0,417
1,8	2,372	0,531
1,9	2,345	0,638
2,0	2,297	0,728
2,1	2,238	0,792
2,2	2,178	0,818
2,3	2,115	0,800
2,4	2,069	0,743
2,5	2,040	0,647
2,6	2,030	0,530
2,7	2,034	0,404
2,8	2,057	0,282
2,9	2,084	0,188
3,0	2,115	0,123
3,1	2,142	0,104
3,2	2,160	0,129
3,3	2,172	0,203
3,4	2,178	0,306
3,5	2,171	0,434
3,6	2,166	0,566
3,7	2,157	0,690
3,8	2,154	0,789
3,9	2,156	0,845
4,0	2,166	0,854
4,1	2,186	0,819
4,2	2,207	0,744
4,3	2,226	0,632
4,4	2,244	0,506
4,5	2,249	0,375
4,6	2,244	0,263
4,7	2,219	0,179
4,8	2,184	0,134
4,9	2,135	0,129
5,0	2,079	0,168
5,1	2,028	0,246
5,2	1,985	0,348
5,3	1,959	0,464
5,4	1,959	0,575
5,5	1,985	0,671
5,6	2,039	0,737
5,7	2,108	0,768
5,8	2,189	0,768
5,9	2,273	0,728
6,0	2,346	0,660
6,1	2,403	0,572
6,2	2,435	0,477
6,3	2,426	0,392
6,4	2,384	0,321
6,5	2,312	0,276
6,6	2,211	0,260
6,7	2,102	0,270
6,8	1,994	0,308
6,9	1,904	0,356
7,0	1,842	0,419
7,1	1,818	0,480
7,2	1,830	0,531
7,3	1,884	0,575
7,4	1,979	0,594
7,5	2,096	0,599
7,6	2,220	0,585
7,7	2,342	0,567
7,8	2,447	0,537
7,9	2,508	0,504
8,0	2,531	0,480
8,1	2,505	0,462
8,2	2,432	0,455
8,3	2,327	0,455
8,4	2,202	0,464
8,5	2,066	0,473
8,6	1,946	0,480
8,7	1,848	0,482
8,8	1,788	0,473
8,9	1,781	0,461
9,0	1,811	0,440
9,1	1,886	0,417
9,2	1,994	0,398
9,3	2,121	0,380
9,4	2,249	0,378
9,5	2,367	0,393
9,6	2,448	0,420
9,7	2,498	0,462
9,8	2,504	0,516
9,9	2,465	0,570
10,0	2,394	0,623
10,1	2,291	0,656
10,2	2,172	0,677
10,3	2,060	0,668
10,4	1,967	0,635
10,5	1,898	0,578
10,6	1,866	0,503
10,7	1,863	0,414
10,8	1,902	0,330
10,9	1,968	0,260
11,0	2,054	0,213
11,1	2,144	0,200
11,2	2,232	0,216
11,3	2,304	0,273
11,4	2,352	0,359
11,5	2,372	0,461
11,6	2,363	0,570
11,7	2,327	0,675
11,8	2,276	0,758
11,9	2,214	0,807
12,0	2,159	0,818
12,1	2,106	0,786
12,2	2,064	0,713
12,3	2,043	0,609
12,4	2,039	0,488
12,5	2,051	0,360
12,6	2,070	0,251
12,7	2,099	0,159
12,8	2,127	0,116
12,9	2,150	0,113
13,0	2,165	0,150
13,1	2,172	0,233
13,2	2,169	0,350
13,3	2,166	0,480
13,4	2,156	0,612
13,5	2,147	0,725
13,6	2,148	0,807
13,7	2,157	0,851
13,8	2,172	0,842
13,9	2,196	0,795
14,0	2,219	0,705
14,1	2,238	0,591
14,2	2,252	0,462
14,3	2,255	0,339
14,4	2,243	0,239
14,5	2,211	0,165
14,6	2,165	0,134
14,7	2,114	0,146
14,8	2,061	0,197
14,9	2,010	0,284
15,0	1,977	0,387
15,1	1,958	0,501
15,2	1,964	0,608
15,3	1,998	0,695
15,4	2,057	0,749
15,5	2,133	0,768
15,6	2,217	0,753
15,7	2,304	0,705
15,8	2,375	0,627
15,9	2,424	0,543
16,0	2,436	0,452
16,1	2,417	0,374
16,2	2,361	0,312
16,3	2,274	0,278
16,4	2,174	0,270
16,5	2,066	0,287
16,6	1,959	0,324
16,7	1,875	0,378
16,8	1,824	0,438
16,9	1,815	0,495
17,0	1,847	0,543
17,1	1,917	0,576
17,2	2,016	0,594
17,3	2,136	0,588
17,4	2,267	0,573
17,5	2,385	0,552
17,6	2,469	0,527
17,7	2,520	0,498
17,8	2,526	0,480
17,9	2,481	0,467
18,0	2,400	0,464
18,1	2,288	0,470
18,2	2,156	0,474
18,3	2,024	0,486
18,4	1,913	0,488
18,5	1,830	0,483
18,6	1,787	0,470
18,7	1,791	0,453
18,8	1,835	0,429
18,9	1,923	0,408
19,0	2,033	0,387
19,1	2,163	0,375
19,2	2,285	0,378
19,3	2,396	0,399
19,4	2,468	0,432
19,5	2,499	0,482
19,6	2,486	0,539
19,7	2,438	0,593
19,8	2,352	0,642
19,9	2,247	0,674
20,0	2,136	0,680
20,1	2,031	0,663
20,2	1,946	0,621
20,3	1,887	0,551
20,4	1,869	0,471
20,5	1,881	0,381
20,6	1,931	0,303
20,7	2,006	0,242
20,8	2,088	0,203
20,9	2,181	0,201
21,0	2,253	0,231
21,1	2,316	0,297
21,2	2,351	0,389
21,3	2,358	0,501
21,4	2,343	0,608
21,5	2,307	0,708
21,6	2,256	0,780
21,7	2,196	0,816
21,8	2,139	0,812
21,9	2,094	0,767
22,0	2,060	0,683
22,1	2,046	0,570
22,2	2,049	0,444
22,3	2,061	0,323
22,4	2,085	0,218
22,5	2,112	0,141
22,6	2,132	0,108
22,7	2,150	0,123
22,8	2,159	0,180
22,9	2,166	0,276
23,0	2,160	0,398
23,1	2,153	0,530
23,2	2,148	0,656
23,3	2,145	0,756
23,4	2,147	0,822
23,5	2,160	0,849
23,6	2,181	0,831
23,7	2,208	0,768
23,8	2,232	0,669
23,9	2,252	0,549
24,0	2,264	0,422
24,1	2,256	0,306
24,2	2,240	0,213
24,3	2,199	0,155
24,4	2,150	0,140
24,5	2,091	0,164
24,6	2,033	0,225
24,7	1,989	0,320
24,8	1,959	0,428
24,9	1,952	0,539
25,0	1,970	0,638
25,1	2,016	0,710
25,2	2,079	0,755
25,3	2,162	0,761
25,4	2,249	0,734
25,5	2,328	0,675
25,6	2,393	0,599
25,7	2,432	0,510
25,8	2,439	0,429
25,9	2,405	0,359
26,0	2,337	0,305
26,1	2,246	0,281
26,2	2,136	0,278
26,3	2,028	0,303
26,4	1,926	0,344
26,5	1,854	0,402
26,6	1,818	0,458
26,7	1,821	0,512
26,8	1,863	0,551
26,9	1,949	0,575
27,0	2,060	0,585
27,1	2,183	0,579
27,2	2,306	0,560
27,3	2,415	0,539
27,4	2,493	0,516
27,5	2,528	0,497
27,6	2,516	0,479
27,7	2,457	0,473
27,8	2,361	0,470
27,9	2,238	0,480
28,0	2,111	0,486
28,1	1,985	0,488
28,2	1,883	0,486
28,3	1,812	0,486
28,4	1,785	0,471
28,5	1,806	0,446
28,6	1,863	0,417
28,7	1,959	0,393
28,8	2,081	0,377
28,9	2,205	0,368
29,0	2,324	0,381
29,1	2,417	0,405
29,2	2,477	0,449
29,3	2,495	0,503
29,4	2,469	0,558
29,5	2,405	0,617
29,6	2,319	0,654
29,7	2,211	0,680
29,8	2,102	0,680
29,9	2,001	0,650
30,0	1,926	0,599
30,1	1,883	0,525
30,2	1,875	0,440
30,3	1,899	0,354
30,4	1,955	0,276
30,5	2,028	0,221
30,6	2,117	0,192
30,7	2,201	0,203
30,8	2,273	0,248
30,9	2,327	0,326
31,0	2,352	0,426
31,1	2,354	0,537
31,2	2,327	0,644
31,3	2,286	0,734
31,4	2,232	0,794
31,5	2,175	0,819
31,6	2,126	0,797
31,7	2,084	0,741
31,8	2,055	0,645
31,9	2,048	0,528
32,0	2,052	0,399
32,1	2,073	0,282
32,2	2,094	0,188
32,3	2,117	0,125
32,4	2,139	0,108
32,5	2,156	0,137
32,6	2,162	0,212
32,7	2,160	0,315
32,8	2,156	0,440
32,9	2,147	0,569
33,0	2,141	0,686
33,1	2,141	0,779
33,2	2,148	0,833
33,3	2,168	0,845
33,4	2,189	0,804
33,5	2,217	0,732
33,6	2,241	0,626
33,7	2,258	0,498
33,8	2,265	0,377
33,9	2,255	0,269
34,0	2,228	0,191
34,1	2,184	0,149
34,2	2,127	0,147
34,3	2,069	0,186
34,4	2,015	0,258
34,5	1,971	0,356
34,6	1,949	0,468
34,7	1,949	0,570
34,8	1,977	0,662
34,9	2,028	0,722
35,0	2,102	0,750
35,1	2,192	0,747
35,2	2,279	0,711
35,3	2,355	0,647
35,4	2,409	0,566
35,5	2,436	0,480
35,6	2,432	0,402
35,7	2,382	0,338
35,8	2,306	0,297
35,9	2,208	0,282
36,0	2,099	0,291
36,1	1,989	0,326
36,2	1,901	0,371
36,3	1,836	0,425
36,4	1,811	0,476
36,5	1,829	0,522
36,6	1,892	0,554
36,7	1,983	0,578
36,8	2,100	0,578
36,9	2,226	0,567
37,0	2,345	0,546
37,1	2,439	0,524
37,2	2,502	0,504
37,3	2,522	0,482
37,4	2,495	0,474
37,5	2,423	0,474
37,6	2,321	0,476
37,7	2,201	0,482
37,8	2,069	0,492
37,9	1,947	0,494
38,0	1,857	0,488
38,1	1,803	0,474
38,2	1,791	0,456
38,3	1,823	0,426
38,4	1,896	0,402
38,5	2,001	0,383
38,6	2,124	0,366
38,7	2,244	0,363
38,8	2,355	0,383
38,9	2,436	0,417
39,0	2,484	0,462
39,1	2,487	0,521
39,2	2,447	0,579
39,3	2,375	0,633
39,4	2,280	0,671
39,5	2,169	0,686
39,6	2,067	0,669
39,7	1,977	0,633
39,8	1,914	0,575
39,9	1,884	0,491
