t / s	U_A1 / V	U_B1 / V
0,0	2,411	0,719
0,1	2,388	0,678
0,2	2,333	0,618
0,3	2,259	0,542
0,4	2,178	0,467
0,5	2,094	0,386
0,6	2,013	0,315
0,7	1,946	0,261
0,8	1,901	0,231
0,9	1,878	0,222
1,0	1,887	0,237
1,1	1,925	0,282
1,2	1,986	0,339
1,3	2,061	0,416
1,4	2,144	0,495
1,5	2,229	0,570
1,6	2,313	0,636
1,7	2,378	0,687
1,8	2,418	0,716
1,9	2,427	0,722
2,0	2,406	0,701
2,1	2,366	0,656
2,2	2,295	0,596
2,3	2,213	0,521
2,4	2,127	0,438
2,5	2,043	0,365
2,6	1,964	0,302
2,7	1,913	0,255
2,8	1,887	0,227
2,9	1,886	0,227
3,0	1,910	0,252
3,1	1,961	0,299
3,2	2,028	0,362
3,3	2,114	0,438
3,4	2,199	0,516
3,5	2,285	0,597
3,6	2,349	0,656
3,7	2,393	0,704
3,8	2,417	0,726
3,9	2,408	0,726
4,0	2,375	0,696
4,1	2,321	0,645
4,2	2,250	0,575
4,3	2,168	0,495
4,4	2,084	0,413
4,5	2,007	0,336
4,6	1,944	0,275
4,7	1,908	0,231
4,8	1,892	0,213
4,9	1,904	0,221
5,0	1,943	0,258
5,1	2,000	0,317
5,2	2,073	0,390
5,3	2,154	0,476
5,4	2,238	0,560
5,5	2,307	0,638
5,6	2,361	0,696
5,7	2,397	0,735
5,8	2,403	0,744
5,9	2,387	0,728
6,0	2,348	0,681
6,1	2,288	0,615
6,2	2,214	0,533
6,3	2,138	0,444
6,4	2,060	0,363
6,5	1,992	0,288
6,6	1,943	0,239
6,7	1,910	0,210
6,8	1,902	0,209
6,9	1,923	0,231
7,0	1,967	0,287
7,1	2,027	0,357
7,2	2,105	0,443
7,3	2,183	0,530
7,4	2,258	0,612
7,5	2,321	0,678
7,6	2,372	0,725
7,7	2,400	0,743
7,8	2,405	0,734
7,9	2,384	0,698
8,0	2,337	0,641
8,1	2,273	0,564
8,2	2,193	0,477
8,3	2,111	0,392
8,4	2,033	0,317
8,5	1,968	0,258
8,6	1,920	0,228
8,7	1,899	0,212
8,8	1,899	0,230
8,9	1,923	0,267
9,0	1,974	0,330
9,1	2,048	0,405
9,2	2,129	0,488
9,3	2,213	0,570
9,4	2,292	0,642
9,5	2,357	0,693
9,6	2,402	0,723
9,7	2,421	0,731
9,8	2,409	0,708
9,9	2,373	0,665
10,0	2,312	0,600
10,1	2,238	0,524
10,2	2,156	0,441
10,3	2,070	0,366
10,4	1,992	0,303
10,5	1,932	0,257
10,6	1,896	0,230
10,7	1,886	0,230
10,8	1,896	0,252
10,9	1,941	0,297
11,0	2,007	0,366
11,1	2,091	0,438
11,2	2,178	0,516
11,3	2,262	0,590
11,4	2,337	0,653
11,5	2,391	0,698
11,6	2,417	0,722
11,7	2,421	0,719
11,8	2,396	0,690
11,9	2,342	0,645
12,0	2,274	0,576
12,1	2,187	0,501
12,2	2,099	0,420
12,3	2,018	0,342
12,4	1,953	0,285
12,5	1,907	0,242
12,6	1,883	0,225
12,7	1,889	0,233
12,8	1,925	0,261
12,9	1,982	0,318
13,0	2,054	0,389
13,1	2,139	0,465
13,2	2,225	0,545
13,3	2,304	0,623
13,4	2,364	0,680
13,5	2,403	0,717
13,6	2,417	0,731
13,7	2,397	0,720
13,8	2,357	0,683
13,9	2,297	0,626
14,0	2,219	0,551
14,1	2,139	0,468
14,2	2,058	0,386
14,3	1,988	0,315
14,4	1,932	0,255
14,5	1,904	0,221
14,6	1,896	0,212
14,7	1,914	0,230
14,8	1,959	0,276
14,9	2,024	0,339
15,0	2,099	0,423
15,1	2,180	0,507
15,2	2,255	0,587
15,3	2,322	0,654
15,4	2,372	0,711
15,5	2,400	0,737
15,6	2,403	0,738
15,7	2,378	0,714
15,8	2,333	0,657
15,9	2,267	0,587
16,0	2,193	0,503
16,1	2,109	0,417
16,2	2,036	0,336
16,3	1,974	0,273
16,4	1,928	0,227
16,5	1,905	0,203
16,6	1,904	0,215
16,7	1,931	0,251
16,8	1,982	0,311
16,9	2,048	0,389
17,0	2,124	0,470
17,1	2,205	0,552
17,2	2,279	0,630
17,3	2,339	0,690
17,4	2,382	0,725
17,5	2,400	0,740
17,6	2,397	0,720
17,7	2,367	0,677
17,8	2,318	0,615
17,9	2,246	0,534
18,0	2,165	0,453
18,1	2,085	0,369
18,2	2,013	0,299
18,3	1,952	0,248
18,4	1,907	0,218
18,5	1,893	0,216
18,6	1,902	0,242
18,7	1,941	0,291
18,8	1,998	0,357
