t / s	U_A1 / V	U_B1 / V
0,0	2,328	0,282
0,1	2,346	0,267
0,2	2,336	0,285
0,3	2,295	0,332
0,4	2,238	0,401
0,5	2,165	0,479
0,6	2,090	0,554
0,7	2,024	0,618
0,8	1,979	0,665
0,9	1,961	0,681
1,0	1,970	0,671
1,1	2,007	0,629
1,2	2,066	0,563
1,3	2,135	0,488
1,4	2,208	0,408
1,5	2,274	0,338
1,6	2,324	0,291
1,7	2,349	0,273
1,8	2,343	0,278
1,9	2,309	0,318
2,0	2,252	0,377
2,1	2,180	0,449
2,2	2,103	0,528
2,3	2,033	0,599
2,4	1,983	0,648
2,5	1,953	0,675
2,6	1,958	0,672
2,7	1,989	0,636
2,8	2,042	0,584
2,9	2,114	0,507
3,0	2,189	0,432
3,1	2,262	0,362
3,2	2,319	0,309
3,3	2,352	0,282
3,4	2,354	0,281
3,5	2,328	0,311
3,6	2,271	0,362
3,7	2,204	0,434
3,8	2,124	0,507
3,9	2,049	0,576
4,0	1,991	0,635
4,1	1,955	0,665
4,2	1,949	0,666
4,3	1,970	0,642
4,4	2,019	0,593
4,5	2,091	0,525
4,6	2,169	0,452
4,7	2,246	0,378
4,8	2,307	0,320
4,9	2,348	0,288
5,0	2,357	0,282
5,1	2,340	0,306
5,2	2,294	0,353
5,3	2,223	0,420
5,4	2,151	0,492
5,5	2,073	0,567
5,6	2,006	0,626
5,7	1,962	0,659
5,8	1,946	0,669
5,9	1,956	0,650
6,0	1,997	0,602
6,1	2,060	0,537
6,2	2,142	0,462
6,3	2,222	0,393
6,4	2,286	0,332
6,5	2,336	0,293
6,6	2,357	0,279
6,7	2,348	0,296
6,8	2,313	0,339
6,9	2,253	0,405
7,0	2,180	0,477
7,1	2,102	0,548
7,2	2,031	0,617
7,3	1,979	0,657
7,4	1,955	0,675
7,5	1,959	0,659
7,6	1,991	0,618
7,7	2,045	0,558
7,8	2,117	0,482
7,9	2,193	0,405
8,0	2,264	0,338
8,1	2,321	0,293
8,2	2,348	0,276
8,3	2,348	0,285
8,4	2,318	0,321
8,5	2,264	0,381
8,6	2,193	0,455
8,7	2,123	0,536
8,8	2,051	0,606
8,9	1,997	0,653
9,0	1,964	0,678
9,1	1,962	0,672
9,2	1,989	0,638
9,3	2,037	0,582
9,4	2,103	0,507
9,5	2,178	0,426
9,6	2,247	0,356
9,7	2,304	0,302
9,8	2,337	0,270
9,9	2,340	0,273
10,0	2,318	0,302
10,1	2,274	0,360
10,2	2,208	0,431
10,3	2,135	0,512
10,4	2,063	0,581
10,5	2,003	0,641
10,6	1,967	0,672
10,7	1,958	0,675
10,8	1,977	0,651
10,9	2,024	0,602
11,0	2,088	0,530
11,1	2,168	0,452
11,2	2,237	0,380
11,3	2,300	0,320
11,4	2,337	0,281
11,5	2,349	0,272
11,6	2,331	0,290
11,7	2,283	0,338
11,8	2,220	0,402
11,9	2,150	0,480
12,0	2,076	0,558
12,1	2,007	0,621
12,2	1,968	0,665
12,3	1,952	0,674
12,4	1,965	0,659
12,5	2,007	0,614
12,6	2,070	0,554
12,7	2,144	0,476
12,8	2,219	0,402
12,9	2,283	0,339
13,0	2,331	0,294
13,1	2,352	0,276
13,2	2,345	0,288
13,3	2,304	0,327
13,4	2,244	0,387
13,5	2,168	0,464
13,6	2,090	0,536
13,7	2,021	0,599
13,8	1,971	0,648
13,9	1,947	0,666
14,0	1,950	0,656
14,1	1,985	0,620
14,2	2,045	0,567
14,3	2,114	0,495
14,4	2,193	0,422
14,5	2,270	0,356
14,6	2,327	0,308
14,7	2,352	0,285
14,8	2,352	0,288
14,9	2,321	0,323
15,0	2,265	0,378
15,1	2,193	0,449
15,2	2,115	0,524
15,3	2,042	0,588
15,4	1,982	0,638
15,5	1,952	0,665
15,6	1,944	0,662
15,7	1,973	0,633
15,8	2,024	0,579
15,9	2,093	0,510
16,0	2,169	0,432
16,1	2,244	0,362
16,2	2,304	0,311
16,3	2,342	0,284
16,4	2,354	0,282
16,5	2,333	0,308
16,6	2,285	0,359
16,7	2,219	0,432
16,8	2,144	0,510
16,9	2,066	0,578
17,0	2,009	0,633
17,1	1,967	0,666
17,2	1,953	0,665
17,3	1,964	0,642
17,4	2,012	0,594
17,5	2,076	0,524
17,6	2,148	0,450
17,7	2,222	0,377
17,8	2,286	0,317
17,9	2,333	0,282
18,0	2,349	0,275
18,1	2,333	0,294
18,2	2,292	0,345
18,3	2,237	0,411
18,4	2,160	0,486
18,5	2,085	0,563
18,6	2,024	0,626
18,7	1,980	0,663
18,8	1,959	0,674
18,9	1,968	0,660
19,0	2,004	0,617
19,1	2,061	0,546
19,2	2,132	0,474
19,3	2,204	0,395
19,4	2,268	0,330
19,5	2,319	0,287
19,6	2,340	0,270
19,7	2,334	0,284
19,8	2,300	0,326
19,9	2,246	0,384
20,0	2,174	0,462
20,1	2,100	0,540
20,2	2,034	0,608
20,3	1,986	0,654
20,4	1,959	0,675
20,5	1,962	0,671
20,6	1,992	0,635
20,7	2,046	0,575
20,8	2,115	0,503
20,9	2,192	0,423
21,0	2,261	0,351
21,1	2,312	0,303
21,2	2,340	0,275
21,3	2,336	0,278
21,4	2,313	0,311
21,5	2,261	0,366
21,6	2,193	0,435
21,7	2,114	0,513
21,8	2,046	0,584
21,9	1,989	0,638
22,0	1,959	0,668
22,1	1,956	0,669
22,2	1,979	0,641
22,3	2,033	0,588
22,4	2,102	0,524
22,5	2,178	0,447
22,6	2,252	0,375
22,7	2,304	0,317
22,8	2,342	0,287
22,9	2,346	0,281
23,0	2,327	0,306
23,1	2,279	0,353
23,2	2,211	0,422
23,3	2,138	0,494
23,4	2,063	0,566
23,5	2,001	0,621
23,6	1,961	0,656
23,7	1,946	0,666
23,8	1,962	0,647
23,9	2,009	0,600
24,0	2,076	0,537
24,1	2,148	0,464
24,2	2,223	0,390
24,3	2,291	0,335
24,4	2,336	0,294
24,5	2,354	0,284
24,6	2,343	0,300
24,7	2,301	0,345
24,8	2,240	0,410
24,9	2,162	0,479
25,0	2,087	0,552
25,1	2,018	0,614
25,2	1,971	0,653
25,3	1,950	0,663
25,4	1,953	0,650
25,5	1,991	0,609
25,6	2,052	0,548
25,7	2,121	0,474
25,8	2,204	0,401
25,9	2,271	0,341
26,0	2,322	0,296
26,1	2,351	0,281
26,2	2,348	0,293
26,3	2,310	0,333
26,4	2,258	0,393
26,5	2,187	0,464
26,6	2,112	0,536
26,7	2,043	0,605
26,8	1,988	0,650
26,9	1,959	0,668
27,0	1,956	0,660
27,1	1,985	0,626
27,2	2,030	0,566
27,3	2,103	0,492
27,4	2,183	0,419
27,5	2,249	0,350
27,6	2,303	0,302
27,7	2,337	0,276
27,8	2,345	0,284
27,9	2,321	0,312
28,0	2,270	0,372
28,1	2,207	0,441
28,2	2,138	0,516
28,3	2,063	0,587
28,4	2,007	0,641
28,5	1,968	0,671
28,6	1,959	0,672
28,7	1,980	0,644
28,8	2,025	0,590
28,9	2,088	0,519
29,0	2,160	0,443
29,1	2,232	0,368
29,2	2,292	0,312
29,3	2,330	0,279
29,4	2,340	0,273
29,5	2,325	0,297
29,6	2,279	0,348
29,7	2,216	0,416
29,8	2,145	0,492
29,9	2,073	0,567
30,0	2,013	0,626
30,1	1,971	0,666
30,2	1,959	0,674
30,3	1,973	0,654
30,4	2,015	0,611
30,5	2,076	0,542
30,6	2,145	0,467
30,7	2,217	0,396
30,8	2,282	0,333
30,9	2,327	0,288
31,0	2,342	0,275
31,1	2,331	0,291
31,2	2,292	0,332
31,3	2,235	0,395
31,4	2,160	0,465
31,5	2,085	0,537
31,6	2,024	0,602
31,7	1,976	0,648
31,8	1,955	0,668
31,9	1,961	0,660
32,0	1,998	0,620
32,1	2,058	0,564
32,2	2,124	0,491
32,3	2,207	0,416
32,4	2,271	0,351
32,5	2,321	0,305
32,6	2,346	0,285
32,7	2,343	0,288
32,8	2,310	0,324
32,9	2,255	0,383
33,0	2,181	0,449
33,1	2,106	0,527
33,2	2,037	0,587
33,3	1,982	0,638
33,4	1,955	0,662
33,5	1,952	0,657
33,6	1,983	0,624
33,7	2,037	0,573
33,8	2,106	0,504
33,9	2,184	0,432
34,0	2,256	0,365
34,1	2,313	0,318
34,2	2,346	0,291
34,3	2,349	0,288
34,4	2,324	0,315
34,5	2,276	0,368
34,6	2,211	0,437
34,7	2,130	0,507
34,8	2,057	0,573
34,9	1,998	0,626
35,0	1,961	0,656
35,1	1,950	0,660
35,2	1,971	0,632
35,3	2,016	0,585
35,4	2,081	0,518
35,5	2,157	0,443
35,6	2,229	0,374
35,7	2,286	0,317
35,8	2,330	0,285
35,9	2,348	0,281
36,0	2,334	0,306
36,1	2,295	0,354
36,2	2,232	0,420
36,3	2,159	0,497
36,4	2,082	0,564
36,5	2,021	0,624
36,6	1,973	0,659
36,7	1,956	0,665
36,8	1,967	0,647
36,9	2,007	0,599
37,0	2,064	0,533
37,1	2,135	0,462
37,2	2,210	0,386
37,3	2,271	0,327
37,4	2,321	0,290
37,5	2,342	0,275
37,6	2,336	0,291
37,7	2,304	0,333
37,8	2,247	0,398
37,9	2,178	0,470
38,0	2,102	0,543
38,1	2,037	0,612
38,2	1,988	0,654
38,3	1,964	0,672
38,4	1,970	0,662
38,5	2,001	0,620
38,6	2,051	0,558
38,7	2,118	0,483
38,8	2,195	0,410
38,9	2,259	0,345
39,0	2,307	0,294
39,1	2,336	0,273
39,2	2,337	0,284
39,3	2,306	0,315
39,4	2,255	0,378
39,5	2,189	0,450
39,6	2,117	0,524
39,7	2,049	0,590
39,8	1,998	0,642
39,9	1,970	0,668
40,0	1,964	0,665
40,1	1,991	0,639
40,2	2,045	0,581
40,3	2,108	0,516
40,4	2,181	0,437
40,5	2,249	0,365
40,6	2,304	0,311
40,7	2,336	0,284
40,8	2,339	0,279
40,9	2,315	0,308
41,0	2,268	0,356
41,1	2,204	0,425
41,2	2,127	0,495
41,3	2,061	0,566
41,4	2,004	0,623
41,5	1,968	0,659
41,6	1,958	0,668
41,7	1,977	0,642
41,8	2,021	0,599
41,9	2,085	0,534
42,0	2,160	0,462
42,1	2,234	0,393
42,2	2,294	0,332
42,3	2,334	0,293
42,4	2,348	0,279
42,5	2,333	0,297
42,6	2,294	0,342
42,7	2,226	0,405
42,8	2,153	0,476
42,9	2,079	0,548
43,0	2,015	0,609
43,1	1,971	0,647
43,2	1,953	0,659
43,3	1,967	0,647
43,4	2,004	0,605
43,5	2,066	0,545
43,6	2,141	0,477
43,7	2,214	0,408
43,8	2,280	0,345
43,9	2,328	0,303
44,0	2,351	0,287
44,1	2,345	0,303
44,2	2,304	0,341
44,3	2,249	0,395
44,4	2,175	0,464
44,5	2,100	0,536
44,6	2,033	0,599
44,7	1,982	0,638
44,8	1,956	0,659
44,9	1,961	0,651
45,0	1,988	0,617
45,1	2,043	0,558
45,2	2,111	0,489
45,3	2,186	0,414
45,4	2,256	0,356
45,5	2,313	0,308
45,6	2,343	0,287
45,7	2,349	0,293
45,8	2,322	0,324
45,9	2,268	0,381
46,0	2,202	0,449
46,1	2,129	0,522
46,2	2,061	0,587
46,3	2,001	0,638
46,4	1,968	0,662
46,5	1,961	0,660
46,6	1,980	0,632
46,7	2,025	0,576
46,8	2,091	0,507
46,9	2,163	0,431
47,0	2,237	0,362
47,1	2,295	0,311
47,2	2,327	0,282
47,3	2,340	0,284
47,4	2,324	0,308
47,5	2,280	0,360
47,6	2,222	0,428
47,7	2,150	0,500
47,8	2,076	0,575
47,9	2,016	0,629
48,0	1,977	0,663
48,1	1,965	0,669
48,2	1,976	0,647
48,3	2,018	0,599
48,4	2,079	0,531
48,5	2,148	0,458
48,6	2,220	0,381
48,7	2,280	0,321
48,8	2,321	0,287
48,9	2,336	0,276
49,0	2,325	0,296
49,1	2,288	0,338
49,2	2,228	0,404
49,3	2,163	0,479
49,4	2,093	0,548
49,5	2,033	0,615
49,6	1,985	0,654
49,7	1,965	0,672
49,8	1,979	0,657
49,9	2,009	0,615
50,0	2,064	0,557
50,1	2,136	0,483
50,2	2,202	0,408
50,3	2,270	0,341
50,4	2,319	0,299
50,5	2,343	0,278
50,6	2,336	0,290
50,7	2,304	0,326
50,8	2,247	0,380
50,9	2,177	0,452
51,0	2,105	0,524
51,1	2,039	0,593
51,2	1,989	0,641
51,3	1,964	0,663
51,4	1,968	0,660
51,5	1,997	0,627
51,6	2,049	0,576
51,7	2,118	0,507
51,8	2,193	0,434
51,9	2,258	0,368
52,0	2,309	0,318
52,1	2,337	0,290
52,2	2,339	0,291
52,3	2,315	0,321
52,4	2,259	0,371
52,5	2,193	0,435
52,6	2,121	0,507
52,7	2,051	0,576
52,8	1,991	0,624
52,9	1,961	0,653
53,0	1,958	0,659
53,1	1,982	0,630
53,2	2,027	0,584
53,3	2,091	0,518
53,4	2,165	0,449
53,5	2,241	0,381
53,6	2,300	0,330
53,7	2,340	0,297
53,8	2,348	0,291
53,9	2,333	0,312
54,0	2,286	0,362
54,1	2,219	0,426
54,2	2,145	0,498
54,3	2,073	0,561
54,4	2,015	0,617
54,5	1,971	0,654
54,6	1,956	0,659
54,7	1,970	0,638
54,8	2,007	0,591
54,9	2,067	0,528
55,0	2,139	0,459
55,1	2,217	0,390
55,2	2,280	0,335
55,3	2,324	0,302
55,4	2,346	0,287
55,5	2,333	0,308
55,6	2,298	0,350
55,7	2,238	0,410
55,8	2,171	0,480
55,9	2,097	0,552
56,0	2,030	0,611
56,1	1,983	0,653
56,2	1,964	0,666
