t / s	U_A1 / V	U_B1 / V
0,0	2,076	0,338
0,1	2,027	0,299
0,2	1,997	0,266
0,3	1,986	0,258
0,4	1,995	0,269
0,5	2,022	0,294
0,6	2,069	0,335
0,7	2,127	0,384
0,8	2,189	0,441
0,9	2,250	0,501
1,0	2,307	0,548
1,1	2,352	0,590
1,2	2,378	0,612
1,3	2,384	0,623
1,4	2,369	0,611
1,5	2,336	0,581
1,6	2,289	0,536
1,7	2,229	0,483
1,8	2,165	0,422
1,9	2,102	0,363
2,0	2,049	0,314
2,1	2,012	0,279
2,2	1,992	0,258
2,3	1,992	0,254
2,4	2,012	0,269
2,5	2,048	0,300
2,6	2,100	0,347
2,7	2,160	0,402
2,8	2,225	0,461
2,9	2,283	0,522
3,0	2,333	0,573
3,1	2,363	0,606
3,2	2,381	0,626
3,3	2,373	0,621
3,4	2,351	0,600
3,5	2,312	0,566
3,6	2,258	0,516
3,7	2,198	0,455
3,8	2,133	0,392
3,9	2,078	0,339
4,0	2,031	0,291
4,1	2,006	0,258
4,2	1,998	0,245
4,3	2,007	0,251
4,4	2,033	0,275
4,5	2,076	0,318
4,6	2,129	0,374
4,7	2,187	0,435
4,8	2,249	0,498
4,9	2,301	0,552
5,0	2,340	0,597
5,1	2,363	0,620
5,2	2,373	0,632
5,3	2,363	0,621
5,4	2,333	0,590
5,5	2,286	0,543
5,6	2,229	0,486
5,7	2,168	0,423
5,8	2,112	0,362
5,9	2,060	0,306
6,0	2,027	0,270
6,1	2,006	0,243
6,2	2,003	0,242
6,3	2,019	0,261
6,4	2,051	0,291
6,5	2,099	0,344
6,6	2,156	0,402
6,7	2,211	0,470
6,8	2,267	0,531
6,9	2,315	0,581
7,0	2,348	0,620
7,1	2,363	0,641
7,2	2,360	0,633
7,3	2,340	0,609
7,4	2,307	0,570
7,5	2,258	0,513
7,6	2,204	0,452
7,7	2,147	0,390
7,8	2,094	0,329
7,9	2,049	0,281
8,0	2,016	0,249
8,1	2,004	0,240
8,2	2,009	0,249
8,3	2,034	0,275
8,4	2,069	0,318
8,5	2,124	0,377
8,6	2,175	0,440
8,7	2,234	0,500
8,8	2,285	0,560
8,9	2,325	0,606
9,0	2,354	0,630
9,1	2,363	0,638
9,2	2,358	0,624
9,3	2,333	0,590
9,4	2,292	0,537
9,5	2,238	0,482
9,6	2,184	0,417
9,7	2,127	0,351
9,8	2,075	0,302
9,9	2,034	0,263
10,0	2,010	0,240
10,1	2,003	0,237
10,2	2,015	0,261
10,3	2,040	0,299
10,4	2,084	0,353
10,5	2,138	0,411
10,6	2,196	0,476
10,7	2,253	0,534
10,8	2,306	0,584
10,9	2,340	0,620
11,0	2,364	0,636
11,1	2,370	0,626
11,2	2,357	0,599
11,3	2,322	0,558
11,4	2,279	0,504
11,5	2,223	0,441
11,6	2,162	0,381
11,7	2,105	0,326
11,8	2,055	0,276
11,9	2,019	0,248
12,0	2,000	0,239
12,1	2,001	0,249
12,2	2,019	0,282
12,3	2,055	0,329
12,4	2,102	0,384
12,5	2,160	0,444
12,6	2,220	0,504
12,7	2,280	0,557
12,8	2,327	0,597
12,9	2,358	0,623
13,0	2,373	0,624
13,1	2,373	0,608
13,2	2,348	0,576
13,3	2,304	0,530
13,4	2,253	0,471
13,5	2,193	0,413
13,6	2,132	0,354
13,7	2,076	0,308
13,8	2,031	0,273
13,9	2,003	0,252
14,0	1,992	0,255
14,1	2,001	0,269
14,2	2,030	0,303
14,3	2,072	0,356
14,4	2,127	0,411
14,5	2,187	0,471
14,6	2,250	0,527
14,7	2,307	0,575
14,8	2,349	0,605
14,9	2,373	0,620
15,0	2,382	0,615
15,1	2,369	0,594
15,2	2,334	0,555
15,3	2,288	0,506
15,4	2,226	0,446
15,5	2,163	0,386
15,6	2,102	0,333
15,7	2,045	0,293
15,8	2,012	0,264
15,9	1,988	0,255
16,0	1,988	0,263
16,1	2,007	0,288
16,2	2,046	0,326
16,3	2,099	0,380
16,4	2,154	0,438
16,5	2,220	0,492
16,6	2,282	0,546
16,7	2,331	0,587
16,8	2,367	0,605
16,9	2,387	0,614
17,0	2,381	0,605
17,1	2,354	0,575
17,2	2,310	0,530
17,3	2,255	0,479
17,4	2,192	0,426
17,5	2,127	0,371
17,6	2,069	0,323
17,7	2,022	0,282
17,8	1,994	0,261
17,9	1,986	0,260
18,0	1,992	0,273
18,1	2,024	0,302
18,2	2,070	0,350
18,3	2,127	0,402
18,4	2,193	0,461
18,5	2,256	0,512
18,6	2,316	0,560
18,7	2,360	0,593
18,8	2,382	0,612
18,9	2,384	0,611
19,0	2,372	0,594
19,1	2,339	0,561
19,2	2,285	0,513
19,3	2,220	0,458
19,4	2,157	0,405
19,5	2,091	0,351
19,6	2,042	0,305
19,7	2,006	0,270
19,8	1,986	0,255
19,9	1,989	0,261
20,0	2,007	0,285
20,1	2,049	0,315
20,2	2,105	0,366
20,3	2,168	0,419
20,4	2,228	0,477
20,5	2,291	0,531
20,6	2,334	0,575
20,7	2,367	0,600
20,8	2,384	0,617
20,9	2,373	0,609
21,0	2,345	0,587
21,1	2,301	0,548
21,2	2,244	0,500
21,3	2,184	0,441
21,4	2,124	0,381
21,5	2,066	0,327
21,6	2,019	0,288
21,7	1,994	0,261
21,8	1,985	0,254
21,9	2,001	0,261
22,0	2,030	0,293
22,1	2,082	0,333
22,2	2,141	0,387
22,3	2,202	0,446
22,4	2,265	0,503
22,5	2,318	0,554
22,6	2,355	0,594
22,7	2,378	0,618
22,8	2,381	0,624
22,9	2,361	0,606
23,0	2,324	0,576
23,1	2,274	0,531
23,2	2,216	0,474
23,3	2,154	0,413
23,4	2,096	0,356
23,5	2,048	0,305
23,6	2,015	0,270
23,7	1,997	0,252
23,8	2,000	0,248
23,9	2,019	0,264
24,0	2,057	0,305
24,1	2,109	0,354
24,2	2,172	0,413
24,3	2,231	0,473
24,4	2,288	0,533
24,5	2,331	0,581
24,6	2,357	0,614
24,7	2,369	0,629
24,8	2,366	0,621
24,9	2,340	0,602
25,0	2,300	0,563
25,1	2,247	0,507
25,2	2,187	0,444
25,3	2,132	0,380
25,4	2,079	0,326
25,5	2,037	0,281
25,6	2,012	0,251
25,7	2,000	0,239
25,8	2,012	0,252
25,9	2,040	0,281
26,0	2,081	0,327
26,1	2,138	0,384
26,2	2,196	0,446
26,3	2,253	0,510
26,4	2,303	0,563
26,5	2,342	0,603
26,6	2,361	0,629
26,7	2,369	0,630
26,8	2,355	0,618
26,9	2,324	0,584
27,0	2,280	0,533
27,1	2,226	0,476
27,2	2,171	0,411
