t / s	U_A1 / V	U_B1 / V
0,0	2,301	0,318
0,1	2,348	0,279
0,2	2,382	0,246
0,3	2,405	0,228
0,4	2,408	0,228
0,5	2,396	0,242
0,6	2,367	0,269
0,7	2,324	0,312
0,8	2,274	0,354
0,9	2,223	0,404
1,0	2,174	0,446
1,1	2,136	0,479
1,2	2,108	0,506
1,3	2,097	0,513
1,4	2,097	0,507
1,5	2,121	0,488
1,6	2,154	0,452
1,7	2,201	0,408
1,8	2,253	0,362
1,9	2,303	0,315
2,0	2,351	0,276
2,1	2,384	0,248
2,2	2,406	0,230
2,3	2,408	0,231
2,4	2,394	0,242
2,5	2,366	0,270
2,6	2,325	0,309
2,7	2,276	0,357
2,8	2,223	0,405
2,9	2,175	0,449
3,0	2,133	0,482
3,1	2,103	0,509
3,2	2,091	0,513
3,3	2,099	0,507
3,4	2,118	0,486
3,5	2,154	0,450
3,6	2,201	0,411
3,7	2,252	0,362
3,8	2,304	0,317
3,9	2,349	0,275
4,0	2,382	0,246
4,1	2,403	0,231
4,2	2,411	0,233
4,3	2,399	0,242
4,4	2,369	0,272
4,5	2,325	0,312
4,6	2,274	0,360
4,7	2,226	0,408
4,8	2,175	0,452
4,9	2,133	0,483
5,0	2,105	0,507
5,1	2,093	0,513
5,2	2,097	0,504
5,3	2,117	0,482
5,4	2,151	0,447
5,5	2,199	0,405
5,6	2,252	0,356
5,7	2,300	0,312
5,8	2,349	0,272
5,9	2,384	0,249
6,0	2,403	0,233
6,1	2,409	0,231
6,2	2,396	0,245
6,3	2,364	0,273
6,4	2,327	0,314
6,5	2,277	0,362
6,6	2,228	0,407
6,7	2,177	0,452
6,8	2,136	0,483
6,9	2,106	0,504
7,0	2,093	0,510
7,1	2,096	0,504
7,2	2,118	0,480
7,3	2,154	0,443
7,4	2,202	0,402
7,5	2,252	0,357
7,6	2,306	0,311
7,7	2,351	0,273
7,8	2,387	0,245
7,9	2,405	0,233
8,0	2,409	0,233
8,1	2,399	0,246
8,2	2,366	0,273
8,3	2,327	0,318
8,4	2,276	0,362
8,5	2,228	0,410
8,6	2,175	0,455
8,7	2,139	0,489
8,8	2,106	0,506
8,9	2,094	0,513
9,0	2,097	0,504
9,1	2,118	0,485
9,2	2,154	0,444
9,3	2,201	0,402
9,4	2,252	0,354
9,5	2,303	0,308
9,6	2,348	0,270
9,7	2,382	0,243
9,8	2,400	0,228
9,9	2,405	0,231
10,0	2,394	0,249
10,1	2,364	0,279
10,2	2,328	0,323
10,3	2,277	0,372
10,4	2,223	0,413
10,5	2,172	0,456
10,6	2,135	0,489
10,7	2,109	0,510
10,8	2,100	0,518
10,9	2,100	0,503
11,0	2,120	0,480
11,1	2,156	0,447
11,2	2,199	0,401
11,3	2,249	0,350
11,4	2,300	0,303
11,5	2,346	0,267
11,6	2,382	0,240
11,7	2,402	0,233
11,8	2,406	0,230
11,9	2,390	0,249
12,0	2,363	0,284
12,1	2,322	0,321
12,2	2,277	0,368
12,3	2,223	0,416
12,4	2,177	0,458
12,5	2,138	0,492
12,6	2,111	0,512
12,7	2,097	0,516
12,8	2,099	0,507
12,9	2,117	0,480
13,0	2,154	0,443
13,1	2,198	0,396
13,2	2,249	0,348
13,3	2,301	0,305
13,4	2,345	0,266
13,5	2,381	0,242
13,6	2,402	0,227
13,7	2,405	0,230
13,8	2,391	0,248
13,9	2,366	0,279
14,0	2,322	0,324
14,1	2,276	0,374
14,2	2,226	0,419
14,3	2,177	0,462
14,4	2,136	0,492
14,5	2,111	0,510
14,6	2,097	0,515
14,7	2,102	0,504
14,8	2,124	0,480
14,9	2,160	0,438
15,0	2,204	0,393
15,1	2,255	0,344
15,2	2,301	0,299
15,3	2,348	0,263
15,4	2,381	0,236
15,5	2,400	0,224
