t / s	U_A1 / V	U_B1 / V
0,0	2,594	0,696
0,1	2,667	0,762
0,2	2,700	0,789
0,3	2,684	0,771
0,4	2,624	0,713
0,5	2,528	0,620
0,6	2,402	0,500
0,7	2,264	0,371
0,8	2,120	0,233
0,9	1,994	0,114
1,0	1,893	0,021
1,1	1,827	-0,035
1,2	1,805	-0,051
1,3	1,829	-0,024
1,4	1,898	0,042
1,5	1,998	0,144
1,6	2,127	0,266
1,7	2,271	0,401
1,8	2,415	0,531
1,9	2,538	0,647
2,0	2,630	0,731
2,1	2,685	0,779
2,2	2,697	0,785
2,3	2,661	0,752
2,4	2,582	0,677
2,5	2,469	0,570
2,6	2,337	0,438
2,7	2,195	0,306
2,8	2,063	0,174
2,9	1,944	0,069
3,0	1,859	-0,008
3,1	1,812	-0,047
3,2	1,814	-0,044
3,3	1,859	-0,002
3,4	1,944	0,083
3,5	2,061	0,194
3,6	2,198	0,326
3,7	2,340	0,459
3,8	2,474	0,585
3,9	2,583	0,689
4,0	2,660	0,761
4,1	2,693	0,792
4,2	2,682	0,780
4,3	2,627	0,726
4,4	2,534	0,632
4,5	2,414	0,516
4,6	2,276	0,384
4,7	2,133	0,246
4,8	2,007	0,128
4,9	1,901	0,029
5,0	1,838	-0,032
5,1	1,815	-0,051
5,2	1,833	-0,033
5,3	1,896	0,030
5,4	2,000	0,129
5,5	2,126	0,254
5,6	2,261	0,386
5,7	2,400	0,521
5,8	2,526	0,636
5,9	2,624	0,728
6,0	2,679	0,782
6,1	2,696	0,795
6,2	2,664	0,765
6,3	2,591	0,696
6,4	2,481	0,585
6,5	2,349	0,459
6,6	2,210	0,324
6,7	2,073	0,194
6,8	1,959	0,081
6,9	1,868	-0,002
7,0	1,821	-0,047
7,1	1,818	-0,047
7,2	1,860	-0,009
7,3	1,941	0,071
7,4	2,051	0,185
7,5	2,186	0,314
7,6	2,328	0,446
7,7	2,459	0,576
7,8	2,571	0,684
7,9	2,652	0,762
8,0	2,687	0,797
8,1	2,678	0,789
8,2	2,633	0,737
8,3	2,543	0,647
8,4	2,421	0,528
8,5	2,286	0,396
8,6	2,148	0,260
8,7	2,022	0,135
8,8	1,917	0,035
8,9	1,845	-0,032
9,0	1,814	-0,054
9,1	1,832	-0,038
9,2	1,889	0,020
