t / s	U_A1 / V	U_B1 / V
0,0	2,640	0,374
0,1	2,655	0,396
0,2	2,633	0,417
0,3	2,568	0,432
0,4	2,471	0,449
0,5	2,349	0,455
0,6	2,220	0,456
0,7	2,096	0,443
0,8	1,988	0,423
0,9	1,910	0,398
1,0	1,869	0,371
1,1	1,865	0,345
1,2	1,907	0,320
1,3	1,982	0,297
1,4	2,084	0,284
1,5	2,210	0,284
1,6	2,334	0,288
1,7	2,454	0,303
1,8	2,552	0,326
1,9	2,619	0,359
2,0	2,648	0,390
2,1	2,639	0,423
2,2	2,583	0,452
2,3	2,499	0,476
2,4	2,387	0,486
2,5	2,259	0,488
2,6	2,136	0,476
2,7	2,025	0,455
2,8	1,941	0,428
2,9	1,887	0,384
3,0	1,871	0,347
3,1	1,901	0,308
3,2	1,967	0,275
3,3	2,060	0,252
3,4	2,174	0,242
3,5	2,301	0,248
3,6	2,421	0,267
3,7	2,520	0,296
3,8	2,594	0,332
3,9	2,634	0,375
4,0	2,634	0,426
4,1	2,591	0,470
4,2	2,511	0,498
4,3	2,409	0,518
4,4	2,295	0,522
4,5	2,169	0,513
4,6	2,060	0,486
4,7	1,968	0,452
4,8	1,910	0,407
4,9	1,886	0,356
5,0	1,899	0,303
5,1	1,953	0,264
5,2	2,039	0,230
5,3	2,144	0,215
5,4	2,264	0,215
5,5	2,381	0,234
5,6	2,483	0,263
5,7	2,565	0,306
5,8	2,612	0,365
5,9	2,619	0,420
6,0	2,589	0,471
6,1	2,528	0,512
6,2	2,433	0,543
6,3	2,322	0,557
6,4	2,208	0,546
6,5	2,094	0,524
6,6	2,004	0,480
6,7	1,934	0,431
6,8	1,901	0,369
6,9	1,908	0,306
7,0	1,950	0,252
7,1	2,027	0,207
7,2	2,120	0,183
7,3	2,234	0,179
7,4	2,346	0,192
7,5	2,448	0,227
7,6	2,532	0,278
7,7	2,585	0,336
7,8	2,604	0,404
7,9	2,586	0,470
8,0	2,535	0,527
8,1	2,453	0,566
8,2	2,352	0,587
8,3	2,241	0,584
8,4	2,136	0,558
8,5	2,039	0,519
8,6	1,968	0,461
8,7	1,926	0,387
8,8	1,922	0,317
8,9	1,952	0,251
9,0	2,012	0,197
9,1	2,097	0,161
9,2	2,199	0,146
9,3	2,307	0,155
9,4	2,409	0,191
9,5	2,498	0,245
9,6	2,555	0,312
9,7	2,583	0,390
9,8	2,576	0,464
9,9	2,534	0,531
10,0	2,463	0,581
10,1	2,370	0,612
10,2	2,271	0,618
10,3	2,166	0,599
10,4	2,070	0,554
10,5	1,997	0,492
10,6	1,953	0,417
10,7	1,943	0,332
10,8	1,962	0,254
10,9	2,012	0,188
11,0	2,087	0,143
11,1	2,180	0,119
11,2	2,279	0,123
11,3	2,376	0,155
11,4	2,460	0,206
11,5	2,523	0,284
11,6	2,558	0,363
11,7	2,559	0,452
11,8	2,526	0,531
11,9	2,469	0,591
12,0	2,390	0,633
12,1	2,301	0,647
12,2	2,201	0,633
12,3	2,115	0,591
12,4	2,037	0,528
12,5	1,988	0,446
12,6	1,968	0,356
12,7	1,977	0,269
12,8	2,015	0,189
12,9	2,079	0,131
13,0	2,157	0,098
