t / s	U_A1 / V	U_B1 / V
0,0	1,860	0,041
0,1	1,886	0,074
0,2	1,947	0,138
0,3	2,039	0,236
0,4	2,154	0,351
0,5	2,271	0,465
0,6	2,387	0,578
0,7	2,486	0,671
0,8	2,556	0,737
0,9	2,592	0,770
1,0	2,594	0,765
1,1	2,558	0,720
1,2	2,489	0,642
1,3	2,388	0,543
1,4	2,271	0,429
1,5	2,150	0,309
1,6	2,042	0,200
1,7	1,953	0,114
1,8	1,887	0,056
1,9	1,862	0,032
2,0	1,871	0,051
2,1	1,919	0,099
2,2	1,994	0,186
2,3	2,091	0,288
2,4	2,204	0,407
2,5	2,322	0,521
2,6	2,430	0,624
2,7	2,516	0,705
2,8	2,574	0,759
2,9	2,594	0,770
3,0	2,579	0,747
3,1	2,526	0,687
3,2	2,445	0,600
3,3	2,337	0,492
3,4	2,222	0,372
3,5	2,105	0,255
3,6	2,003	0,159
3,7	1,922	0,083
3,8	1,872	0,045
3,9	1,860	0,041
4,0	1,883	0,071
4,1	1,940	0,132
4,2	2,030	0,228
4,3	2,136	0,338
4,4	2,256	0,459
4,5	2,375	0,572
4,6	2,472	0,668
4,7	2,543	0,734
4,8	2,586	0,770
4,9	2,588	0,764
5,0	2,559	0,725
5,1	2,495	0,651
5,2	2,403	0,548
5,3	2,289	0,438
5,4	2,169	0,318
5,5	2,058	0,207
5,6	1,962	0,122
5,7	1,896	0,063
5,8	1,865	0,038
5,9	1,868	0,050
6,0	1,908	0,095
6,1	1,979	0,171
6,2	2,081	0,276
6,3	2,193	0,393
6,4	2,309	0,507
6,5	2,420	0,615
6,6	2,508	0,701
6,7	2,570	0,756
6,8	2,598	0,771
6,9	2,586	0,749
7,0	2,535	0,696
7,1	2,450	0,609
7,2	2,348	0,503
7,3	2,232	0,386
7,4	2,112	0,270
7,5	2,010	0,167
7,6	1,925	0,087
7,7	1,872	0,048
7,8	1,860	0,036
7,9	1,877	0,066
8,0	1,940	0,131
8,1	2,022	0,221
8,2	2,132	0,335
8,3	2,250	0,447
8,4	2,366	0,563
8,5	2,466	0,657
8,6	2,543	0,729
8,7	2,588	0,767
8,8	2,595	0,768
8,9	2,564	0,726
9,0	2,496	0,656
9,1	2,406	0,560
9,2	2,298	0,446
9,3	2,178	0,330
9,4	2,063	0,218
9,5	1,968	0,128
9,6	1,901	0,068
9,7	1,863	0,039
9,8	1,866	0,048
9,9	1,901	0,095
10,0	1,974	0,173
10,1	2,073	0,276
10,2	2,183	0,387
10,3	2,301	0,503
10,4	2,412	0,614
10,5	2,504	0,701
10,6	2,567	0,752
10,7	2,595	0,770
10,8	2,586	0,750
10,9	2,541	0,699
11,0	2,460	0,617
11,1	2,364	0,510
11,2	2,246	0,392
11,3	2,126	0,276
11,4	2,022	0,174
11,5	1,940	0,096
11,6	1,881	0,050
