t / s	U_A1 / V	U_B1 / V
0,0	1,922	0,446
0,1	1,848	0,444
0,2	1,821	0,443
0,3	1,827	0,432
0,4	1,872	0,422
0,5	1,956	0,407
0,6	2,069	0,401
0,7	2,195	0,396
0,8	2,319	0,395
0,9	2,427	0,398
1,0	2,508	0,413
1,1	2,553	0,434
1,2	2,558	0,458
1,3	2,517	0,483
1,4	2,447	0,509
1,5	2,345	0,530
1,6	2,225	0,545
1,7	2,103	0,545
1,8	1,992	0,530
1,9	1,907	0,506
2,0	1,851	0,470
2,1	1,836	0,428
2,2	1,860	0,384
2,3	1,919	0,341
2,4	2,015	0,312
2,5	2,123	0,291
2,6	2,240	0,285
2,7	2,348	0,306
2,8	2,442	0,335
2,9	2,499	0,381
3,0	2,523	0,440
3,1	2,513	0,500
3,2	2,463	0,558
3,3	2,388	0,600
3,4	2,289	0,635
3,5	2,180	0,641
3,6	2,075	0,626
3,7	1,989	0,591
3,8	1,926	0,531
3,9	1,896	0,465
4,0	1,893	0,392
4,1	1,928	0,318
4,2	1,991	0,257
4,3	2,075	0,212
4,4	2,171	0,194
4,5	2,262	0,206
4,6	2,349	0,245
4,7	2,412	0,306
4,8	2,450	0,387
4,9	2,457	0,473
5,0	2,438	0,563
5,1	2,385	0,638
5,2	2,315	0,690
5,3	2,234	0,722
5,4	2,153	0,725
5,5	2,079	0,687
5,6	2,019	0,620
5,7	1,979	0,536
5,8	1,965	0,435
5,9	1,982	0,336
6,0	2,015	0,248
6,1	2,070	0,176
6,2	2,133	0,134
6,3	2,202	0,126
6,4	2,264	0,152
6,5	2,319	0,215
6,6	2,355	0,303
6,7	2,367	0,411
6,8	2,364	0,521
6,9	2,342	0,623
7,0	2,300	0,710
7,1	2,253	0,764
7,2	2,202	0,782
7,3	2,148	0,767
7,4	2,106	0,704
7,5	2,076	0,614
7,6	2,066	0,509
7,7	2,066	0,387
7,8	2,081	0,278
7,9	2,106	0,183
8,0	2,138	0,114
8,1	2,169	0,081
8,2	2,207	0,090
8,3	2,231	0,141
8,4	2,252	0,224
8,5	2,261	0,333
8,6	2,264	0,452
8,7	2,256	0,576
8,8	2,241	0,683
8,9	2,223	0,759
9,0	2,205	0,807
9,1	2,190	0,812
9,2	2,174	0,771
9,3	2,169	0,692
9,4	2,165	0,590
9,5	2,169	0,465
9,6	2,175	0,342
9,7	2,183	0,227
9,8	2,187	0,141
9,9	2,187	0,086
10,0	2,189	0,072
10,1	2,183	0,098
10,2	2,175	0,164
10,3	2,163	0,263
10,4	2,157	0,378
10,5	2,150	0,501
10,6	2,150	0,618
10,7	2,156	0,716
10,8	2,165	0,777
10,9	2,183	0,810
11,0	2,205	0,792
11,1	2,229	0,740
11,2	2,249	0,651
11,3	2,271	0,540
11,4	2,283	0,422
11,5	2,282	0,303
11,6	2,270	0,203
11,7	2,247	0,131
11,8	2,214	0,092
11,9	2,172	0,096
12,0	2,132	0,138
12,1	2,091	0,213
12,2	2,064	0,314
12,3	2,048	0,428
12,4	2,049	0,540
12,5	2,066	0,641
12,6	2,097	0,720
12,7	2,139	0,767
12,8	2,192	0,774
12,9	2,250	0,743
13,0	2,306	0,683
13,1	2,349	0,593
13,2	2,376	0,486
13,3	2,385	0,377
13,4	2,370	0,282
13,5	2,331	0,206
13,6	2,277	0,155
13,7	2,207	0,140
13,8	2,132	0,153
13,9	2,067	0,206
14,0	2,009	0,276
14,1	1,970	0,368
